"Player Position X",-0.250,-0.242,-0.254,-0.310,-0.401,-0.458,-0.470,-0.450,-0.413,-0.372,-0.339,-0.392,-0.441,-0.443,-0.436,-0.438,-0.452,-0.487,-0.547,-0.635,-0.735,-0.756,-0.733,-0.683,-0.607,-0.522,-0.410,-0.292,-0.182,-0.073,0.043,0.159,0.277,0.398,0.518,0.590,0.691,0.765,0.898,1.036
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",11.669,11.820,11.977,12.104,12.198,12.314,12.446,12.579,12.705,12.830,12.968,13.104,13.233,13.367,13.504,13.638,13.771,13.899,14.012,14.090,14.129,14.215,14.343,14.475,14.597,14.703,14.800,14.889,14.968,15.047,15.129,15.207,15.281,15.353,15.419,15.483,15.544,15.519,15.502,15.482
"Head Rotation X",0.425,0.344,0.009,359.639,359.624,0.734,5.930,10.773,11.518,12.394,14.349,15.026,14.957,14.524,17.697,23.146,24.866,26.544,27.765,28.127,28.350,26.564,21.615,17.637,15.817,14.649,14.697,15.516,16.875,17.652,18.841,19.916,19.981,20.481,23.099,26.869,32.877,33.644,35.172,36.809
"Head Rotation Y",22.511,21.734,20.769,18.056,18.485,19.002,18.715,19.526,20.510,21.554,21.537,22.173,23.080,23.864,23.136,22.590,23.928,25.050,26.177,27.839,29.690,33.345,38.572,43.857,48.406,53.570,56.778,59.395,61.894,63.395,65.157,66.664,68.404,69.874,71.039,72.382,73.966,74.508,74.831,73.095
"Head Rotation Z",5.321,5.369,5.021,5.350,5.261,5.363,5.528,5.499,5.438,5.526,5.396,5.132,5.295,5.751,5.248,4.014,2.644,2.146,2.374,2.372,2.221,2.488,3.441,3.268,3.248,3.432,3.537,3.602,3.150,3.115,3.446,3.807,4.134,4.908,5.369,6.224,4.965,4.538,4.560,3.140
"Player Height",1.589,1.589,1.590,1.590,1.590,1.588,1.579,1.571,1.570,1.568,1.565,1.564,1.565,1.564,1.554,1.544,1.541,1.541,1.544,1.545,1.545,1.548,1.557,1.566,1.573,1.579,1.575,1.572,1.568,1.566,1.564,1.561,1.560,1.558,1.552,1.544,1.531,1.532,1.530,1.527
