"Player Position X",5.379,5.274,5.183,5.089,4.956,4.880,4.824,4.712,4.600,4.493,4.383,4.270,4.140,4.011,3.889,3.759,3.677,3.602,3.541,3.495,3.463,3.429,3.398,3.372,3.348,3.328,3.328,3.315,3.290,3.266,3.271,3.365,3.457,3.558,3.651,3.756,3.888,4.023,4.169,4.317,4.457,4.595,4.728,4.871,4.998,5.130,5.261,5.407,5.547,5.689,5.821,5.938,6.045,6.095,6.040,5.961,5.903,5.805,5.663,5.516,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.471,5.369,5.248,5.127,4.988,4.862,4.728,4.604,4.694,4.611,4.504,4.372,4.218,4.066,3.915,3.769,3.623,3.599,3.599,3.599,3.599,3.476,3.355,3.228,3.098,2.960,2.818,2.681,2.558,2.416,2.270,2.136,2.004,1.862,1.742,1.666,1.790,1.934,2.085,2.100,1.957,1.814,1.670,1.520,1.375,1.243,1.101,0.963,0.833,0.700,0.587,0.517,0.465,0.435,0.417,0.400,0.381,0.357,0.311,0.217,0.144,0.105,0.077,0.057,0.005,-0.074,-0.087,-0.075,-0.053,-0.033,-0.097,-0.164,-0.212,-0.254,-0.297,-0.340,-0.378,-0.403,-0.384,-0.332,-0.274,-0.221,-0.175,-0.143,-0.115,-0.086,-0.073,-0.073,-0.073,-0.058,-0.036,-0.016,-0.001,0.025,0.050,0.067,0.067,0.059,0.046,0.030,0.014,-0.004,-0.022,-0.041,-0.059,-0.077,-0.096,-0.116,-0.137,-0.157,-0.179,-0.201,-0.224,-0.245,-0.265,-0.286,-0.300,-0.302,-0.296,-0.284,-0.265,-0.238,-0.206,-0.172,-0.131,-0.078,-0.020,0.042,0.107,0.170,0.233,0.299,0.363,0.431,0.501,0.576,0.651,0.727,0.784,0.868,0.975,1.084,1.200
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",3.968,3.859,3.763,3.810,3.850,3.982,4.109,4.192,4.268,4.358,4.382,4.396,4.412,4.400,4.358,4.288,4.178,4.052,3.942,3.822,3.699,3.561,3.423,3.287,3.149,3.020,3.020,3.152,3.292,3.432,3.582,3.706,3.798,3.902,4.005,4.098,4.147,4.184,4.200,4.179,4.140,4.089,4.034,3.976,3.937,3.931,3.935,3.932,3.919,3.898,3.836,3.775,3.690,3.577,3.519,3.628,3.769,3.877,3.940,3.993,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,4.009,3.949,3.895,3.844,3.787,3.758,3.769,3.812,4.030,4.133,4.205,4.231,4.231,4.224,4.215,4.206,4.191,4.188,4.188,4.188,4.188,4.137,4.092,4.047,4.004,3.964,3.929,3.914,3.934,3.947,3.958,3.975,3.993,4.009,4.018,4.032,4.072,4.084,4.089,4.058,4.020,4.007,4.022,4.035,4.047,4.060,4.069,4.089,4.133,4.217,4.312,4.442,4.575,4.711,4.832,4.961,5.092,5.229,5.346,5.450,5.555,5.669,5.795,5.924,6.055,6.183,6.325,6.470,6.598,6.726,6.859,6.974,7.104,7.226,7.350,7.490,7.633,7.780,7.907,8.022,8.149,8.285,8.421,8.538,8.663,8.785,8.835,8.835,8.835,8.899,9.013,9.153,9.296,9.439,9.569,9.712,9.857,9.991,10.124,10.256,10.389,10.523,10.666,10.807,10.949,11.089,11.239,11.384,11.525,11.662,11.809,11.957,12.107,12.252,12.389,12.530,12.669,12.812,12.940,13.080,13.217,13.344,13.480,13.625,13.774,13.919,14.040,14.158,14.276,14.396,14.519,14.651,14.771,14.890,15.004,15.121,15.233,15.344,15.450,15.539,15.592,15.631,15.662
"Head Rotation X",27.950,27.944,27.793,29.721,31.161,32.383,31.967,31.062,30.577,29.590,29.306,30.136,30.035,30.995,33.782,36.250,37.831,35.078,32.274,29.144,27.450,24.938,23.079,23.089,23.472,24.148,23.822,23.281,23.498,23.920,24.950,27.384,30.406,33.043,34.457,35.275,35.180,36.079,38.415,40.963,42.856,43.577,43.911,44.510,45.034,45.358,45.832,46.248,46.447,46.987,47.350,47.194,47.149,47.114,47.196,47.293,47.257,47.308,47.399,47.728,47.844,47.900,47.956,48.084,47.910,47.919,48.011,48.085,47.970,47.937,47.735,47.570,45.974,42.418,36.274,33.158,30.735,31.215,34.750,38.302,38.817,37.598,36.593,35.337,35.794,36.033,37.012,38.695,40.404,41.649,43.472,45.176,46.687,46.878,46.814,46.948,47.053,47.090,47.176,47.320,46.764,45.549,43.751,42.411,42.072,39.969,37.938,36.222,33.785,32.974,32.772,33.879,33.087,32.270,28.971,27.220,24.952,22.840,20.067,18.021,15.945,13.997,11.930,10.158,9.307,8.674,8.601,8.856,8.962,9.020,8.997,8.741,7.935,6.069,3.867,2.071,0.266,359.717,0.279,0.615,2.737,5.970,10.668,14.089,17.394,20.745,24.251,28.375,32.412,34.097,35.854,36.715,37.331,38.789,39.678,40.221,40.985,41.494,41.795,41.855,41.794,41.647,41.091,40.609,40.163,39.976,39.963,40.468,40.872,41.100,42.482,44.683,44.831,44.905,45.000,45.049,44.973,45.029,45.046,45.094,45.258,45.523,45.604,45.806,46.122,46.518,47.095,47.656,47.812,47.921,47.288,42.387,38.357,34.918,30.667,25.610,22.314,21.050,19.791,18.405,15.306,13.000,12.480,13.560,14.221,15.661,18.472,20.464,21.976,22.393,22.913,23.334,23.991,24.335,25.710,28.055,29.602,30.912
"Head Rotation Y",119.301,121.128,125.011,136.580,155.576,175.668,187.766,198.133,208.361,220.499,228.070,229.272,229.215,227.548,222.374,214.833,204.789,197.589,191.059,184.469,181.493,180.500,178.741,176.883,174.408,169.205,162.536,155.759,149.018,142.899,136.634,131.257,128.648,126.413,124.906,124.313,125.360,125.707,128.854,135.079,141.758,145.438,146.439,147.400,148.418,149.693,151.337,152.842,154.128,155.090,156.030,157.247,157.900,158.581,159.406,160.645,161.697,163.058,164.613,166.337,167.490,167.628,168.224,169.009,168.775,168.476,168.539,168.609,168.629,169.133,170.250,170.906,172.014,176.663,187.411,194.373,201.884,204.087,202.090,201.586,205.389,211.547,221.172,274.350,278.487,279.574,277.376,273.096,269.034,265.709,262.763,260.882,258.028,256.562,255.982,255.573,255.410,255.385,255.314,254.728,253.068,253.766,255.445,256.255,256.401,257.983,259.672,259.928,258.272,256.808,256.478,257.030,258.329,260.011,262.858,267.307,275.566,288.765,298.990,307.896,315.492,323.542,330.793,335.969,339.195,341.129,342.457,343.503,344.501,345.069,345.625,345.674,345.351,345.747,346.358,347.221,349.003,351.077,353.916,356.996,2.450,6.440,9.772,11.831,12.331,12.121,11.451,10.748,9.870,9.753,11.948,14.377,16.197,18.577,21.405,22.666,23.812,24.848,25.334,25.969,26.365,26.223,25.886,24.443,22.156,19.771,16.925,13.791,10.686,8.187,4.588,358.175,354.424,353.475,353.086,352.765,352.643,352.472,352.445,352.348,352.306,352.277,352.009,351.778,351.554,351.278,351.295,351.375,351.300,351.298,351.768,355.836,0.450,2.846,4.964,8.055,11.201,12.083,12.719,14.470,18.357,22.076,23.998,24.777,24.683,24.385,25.173,26.783,28.588,29.826,30.919,31.576,32.829,35.931,39.658,43.388,44.212,43.531
"Head Rotation Z",356.015,355.936,355.935,358.140,2.277,6.502,8.479,9.292,7.835,7.237,6.462,5.098,4.101,3.340,2.263,0.186,357.787,355.470,353.926,352.756,352.034,353.006,353.000,352.531,351.183,348.732,345.975,344.212,343.055,342.871,342.264,342.131,342.670,342.604,342.643,342.907,343.196,344.137,345.434,347.786,351.491,354.066,354.331,354.943,354.783,355.797,356.303,356.487,356.933,357.085,356.902,357.048,357.121,356.960,356.747,357.169,357.089,357.761,357.934,358.297,358.457,358.098,358.002,358.649,358.636,358.747,359.091,359.276,358.914,358.818,358.735,358.753,358.729,0.663,4.184,5.646,6.353,6.550,5.521,4.222,4.282,5.431,5.662,6.507,6.471,5.724,4.771,2.949,2.140,1.218,0.637,0.354,359.834,359.521,359.634,359.717,0.028,359.992,359.984,359.893,359.574,359.937,0.802,1.153,1.130,2.017,2.558,2.664,2.102,2.280,3.283,3.470,4.338,5.079,6.774,7.787,10.009,14.308,18.157,22.387,25.642,29.424,30.845,30.889,29.434,26.915,23.502,20.253,16.786,13.980,10.144,7.061,5.003,2.599,0.292,358.790,357.253,357.647,356.998,357.430,358.511,358.090,358.907,359.775,0.654,1.475,2.000,2.362,3.242,3.199,4.674,5.584,6.235,6.987,7.979,7.985,8.310,8.858,8.963,8.980,8.769,8.190,7.844,7.665,7.086,6.561,6.067,5.512,4.829,4.704,4.767,2.940,2.443,2.122,2.087,1.968,2.062,2.089,2.249,2.202,2.085,1.999,1.834,1.358,1.057,0.669,0.632,0.801,0.740,0.722,0.823,2.923,5.019,5.549,5.789,6.066,6.357,5.785,4.536,4.365,4.228,4.551,4.449,4.602,4.499,4.423,3.926,3.510,3.396,3.185,3.065,2.664,2.044,1.841,2.511,2.735,2.455,2.292
"Player Height",1.535,1.536,1.536,1.536,1.532,1.531,1.533,1.535,1.534,1.534,1.535,1.532,1.533,1.532,1.526,1.520,1.517,1.522,1.528,1.534,1.539,1.543,1.548,1.549,1.547,1.544,1.541,1.539,1.536,1.535,1.532,1.528,1.522,1.516,1.512,1.511,1.511,1.510,1.504,1.500,1.498,1.496,1.495,1.493,1.492,1.491,1.490,1.489,1.489,1.487,1.486,1.486,1.486,1.486,1.486,1.485,1.485,1.485,1.485,1.484,1.484,1.484,1.484,1.484,1.484,1.484,1.484,1.484,1.485,1.485,1.485,1.486,1.488,1.497,1.507,1.518,1.524,1.525,1.520,1.511,1.513,1.516,1.517,1.518,1.517,1.517,1.514,1.512,1.508,1.503,1.497,1.491,1.486,1.486,1.486,1.485,1.484,1.484,1.484,1.484,1.485,1.487,1.492,1.495,1.496,1.499,1.507,1.511,1.518,1.522,1.523,1.521,1.522,1.526,1.532,1.535,1.537,1.534,1.530,1.525,1.520,1.514,1.512,1.514,1.519,1.528,1.536,1.542,1.549,1.553,1.558,1.561,1.564,1.567,1.574,1.586,1.594,1.595,1.594,1.593,1.587,1.583,1.575,1.566,1.559,1.553,1.545,1.537,1.526,1.520,1.515,1.513,1.510,1.507,1.505,1.503,1.501,1.499,1.498,1.497,1.497,1.497,1.498,1.499,1.500,1.501,1.502,1.501,1.500,1.500,1.497,1.491,1.491,1.491,1.491,1.490,1.491,1.491,1.491,1.490,1.490,1.488,1.488,1.488,1.487,1.485,1.484,1.482,1.482,1.481,1.482,1.490,1.499,1.509,1.519,1.530,1.538,1.544,1.546,1.548,1.554,1.559,1.562,1.559,1.558,1.556,1.551,1.547,1.543,1.541,1.540,1.539,1.537,1.536,1.532,1.528,1.524,1.520
