"Player Position X {0.100}";"Player Position Y {0.100}";"Player Position {0.100}"";"Head Rotation X {0.100}";"Head Rotation Y {0.100}";"Head Rotation {0.100}"";"Player Height {0.100}";"Object Viewed {0.100}"
6.142;0.000;3.248;348.569;275.084;3.472;1.140;
6.142;0.000;3.248;349.074;278.292;4.622;1.146;
6.142;0.000;3.248;348.660;281.054;5.311;1.147;
6.142;0.000;3.248;347.702;280.728;2.491;1.138;
6.142;0.000;3.248;344.799;278.610;359.158;1.107;
6.262;0.000;3.244;341.156;276.627;357.193;1.068;
6.262;0.000;3.244;341.141;275.225;358.018;1.037;
6.358;0.000;3.241;337.311;276.907;354.324;0.996;
6.358;0.000;3.241;336.948;278.252;356.811;0.952;
6.358;0.000;3.241;340.177;277.199;2.032;0.920;
6.358;0.000;3.241;344.164;276.102;1.957;0.895;
6.358;0.000;3.241;344.703;274.938;3.724;0.876;
6.358;0.000;3.241;344.173;274.424;2.702;0.852;
6.358;0.000;3.241;345.754;273.629;355.614;0.829;
6.358;0.000;3.241;345.000;270.499;355.966;0.827;
6.358;0.000;3.241;341.687;267.091;357.236;0.825;
6.358;0.000;3.241;339.680;263.178;357.341;0.825;
6.358;0.000;3.241;338.994;259.647;0.276;0.821;
6.358;0.000;3.241;338.947;261.405;359.075;0.823;
6.358;0.000;3.241;338.874;261.263;359.049;0.823;
6.358;0.000;3.241;338.923;261.269;359.019;0.823;
6.358;0.000;3.241;338.876;261.274;359.014;0.823;
6.358;0.000;3.241;338.915;261.309;358.995;0.823;
6.358;0.000;3.241;338.875;261.373;358.996;0.823;
6.358;0.000;3.241;338.867;261.361;358.997;0.823;
6.358;0.000;3.241;338.865;261.344;358.994;0.823;
6.358;0.000;3.241;338.896;261.338;359.009;0.823;
6.358;0.000;3.241;338.872;261.344;358.997;0.823;
6.358;0.000;3.241;338.914;261.345;358.998;0.823;
6.358;0.000;3.241;338.828;261.354;358.981;0.823;
6.358;0.000;3.241;338.858;261.346;359.001;0.823;
6.358;0.000;3.241;338.898;261.345;358.993;0.823;
6.358;0.000;3.241;338.881;261.350;358.990;0.823;
6.358;0.000;3.241;338.864;261.345;358.993;0.823;
6.358;0.000;3.241;338.870;261.345;358.997;0.823;
6.358;0.000;3.241;338.874;261.352;358.990;0.823;
6.358;0.000;3.241;338.882;261.351;358.986;0.823;
6.358;0.000;3.241;338.895;261.355;358.983;0.823;
6.358;0.000;3.241;338.883;261.367;358.984;0.823;
6.358;0.000;3.241;338.873;261.348;358.982;0.823;
6.358;0.000;3.241;338.887;261.349;358.983;0.823;
6.358;0.000;3.241;338.881;261.346;359.002;0.823;
6.358;0.000;3.241;338.886;261.349;358.979;0.823;
6.358;0.000;3.241;338.874;261.340;358.994;0.823;
6.360;0.000;3.080;338.893;261.339;358.990;0.823;
6.360;0.000;2.090;338.904;261.328;359.001;0.823;
6.360;0.000;0.320;338.903;261.347;359.002;0.823;
6.360;0.000;-0.430;338.936;261.346;359.006;0.823;
6.358;0.000;-1.160;338.910;261.352;358.993;0.823;
