"Player Position X {0.100}",4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.870,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,4.871,6.220,6.700,6.830
"Player Position Y {0.100}",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z {0.100}",3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.930,3.795,3.795,3.795,3.795,3.795,3.640,3.640,3.640,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.510,3.603,3.603,3.603,3.603,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,2.030,0.670,-1.400
"Head Rotation X {0.100}",352.864,352.860,352.881,352.855,352.866,352.873,352.878,352.865,352.873,352.835,352.865,352.877,352.840,352.851,352.881,352.874,352.883,352.861,352.878,352.861,352.878,352.863,352.895,352.898,352.883,352.902,352.842,352.861,352.912,352.991,352.696,353.131,359.778,356.382,347.141,339.801,332.358,326.773,325.831,329.730,334.756,338.849,343.616,342.740,338.079,334.104,333.335,333.672,334.940,333.749,332.080,332.945,336.207,341.225,344.718,347.359,347.168,352.824,0.702,4.132,4.470,4.170,4.274,5.551,10.435,14.666,17.850,22.230,22.209,22.962,23.896,27.488,27.311,18.593,9.492,5.572,2.573,350.751,348.680,346.518,352.194,355.889,357.070,357.022,358.133,354.864,357.527,356.832,355.550,356.867,352.572,353.881,354.175,354.319,354.293,354.262,354.247,354.239,354.284,354.268,354.271,354.314,354.295,354.294,354.298,354.283,354.281,354.286,354.275,354.281,354.274,354.285,354.260,354.266,354.269,354.279,354.273,354.288,354.283,354.288,354.276,354.282,354.284,354.275,354.276,354.295,354.314,354.300,354.321,354.312,354.307,354.305,354.310,354.330,354.322,354.331,354.312,354.312,354.313,354.296,354.305,354.316,354.324,354.319,354.310,354.318,354.322,354.322,354.320
"Head Rotation Y {0.100}",221.487,221.485,221.485,221.493,221.493,221.495,221.493,221.483,221.494,221.485,221.480,221.484,221.493,221.480,221.482,221.490,221.484,221.478,221.492,221.468,221.493,221.494,221.491,221.482,221.494,221.491,221.488,221.490,221.491,221.588,221.715,218.326,221.852,226.460,225.131,226.127,224.883,224.240,225.393,230.975,233.404,234.872,238.208,241.050,244.727,257.402,266.923,274.379,281.711,284.179,283.880,285.085,286.011,275.220,262.586,242.904,231.927,223.570,223.820,217.345,208.033,204.072,206.847,219.032,231.003,236.620,238.365,236.648,227.780,215.270,212.091,210.163,204.607,200.634,207.233,206.237,202.260,211.601,219.565,226.294,232.583,236.283,233.944,232.254,230.588,229.957,227.726,227.810,226.795,229.559,230.552,229.606,229.474,229.397,229.517,229.524,229.530,229.532,229.540,229.552,229.560,229.574,229.580,229.588,229.588,229.598,229.606,229.604,229.604,229.615,229.614,229.610,229.629,229.634,229.634,229.628,229.634,229.642,229.636,229.639,229.643,229.625,229.631,229.628,229.630,229.636,229.641,229.634,229.638,229.635,229.632,229.642,229.644,229.636,229.635,229.638,229.647,229.624,229.618,229.620,229.633,229.625,229.618,229.607,229.619,229.611,229.623,229.616,229.617
"Head Rotation Z {0.100}",359.953,359.952,359.947,359.943,359.941,359.943,359.956,359.942,359.945,359.952,359.960,359.934,359.946,359.947,359.956,359.945,359.949,359.957,359.956,359.961,359.955,359.960,359.970,359.969,359.960,359.958,359.942,359.960,359.964,359.978,0.087,0.446,1.499,8.305,10.610,15.065,18.659,23.268,27.587,25.898,26.572,21.494,24.316,30.400,31.873,39.924,45.581,41.514,50.199,61.386,80.618,76.354,69.974,66.824,62.611,51.477,52.173,57.868,60.988,67.090,68.381,67.420,64.818,64.112,71.137,73.984,75.953,84.818,83.645,84.108,84.528,87.012,87.987,76.071,57.642,51.661,33.008,13.794,10.589,10.709,2.762,3.090,2.743,7.825,8.200,7.098,9.171,9.050,4.320,1.192,0.239,359.935,359.915,0.000,359.977,359.976,359.956,359.950,359.952,359.946,359.942,359.960,359.953,359.949,359.938,359.934,359.935,359.937,359.944,359.933,359.923,359.923,359.924,359.907,359.915,359.921,359.904,359.907,359.898,359.894,359.910,359.899,359.907,359.902,359.891,359.894,359.889,359.884,359.883,359.889,359.882,359.891,359.889,359.891,359.887,359.883,359.881,359.858,359.866,359.850,359.877,359.874,359.870,359.883,359.880,359.878,359.877,359.875,359.879
"Player Height {0.100}",0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.821,0.853,0.897,0.945,0.993,1.020,1.035,1.037,1.032,1.024,1.013,1.010,1.017,1.026,1.037,1.044,1.043,1.043,1.047,1.042,1.035,1.029,1.017,0.996,0.981,0.963,0.947,0.943,0.940,0.940,0.940,0.944,0.938,0.938,0.948,0.952,0.951,0.958,0.957,0.953,0.957,0.964,0.971,0.969,0.966,0.975,0.975,0.962,0.928,0.899,0.865,0.841,0.826,0.822,0.814,0.821,0.816,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812
"Object Viewed by Player {0.100}","Door from [20.32] to [24.18]","Cube.009 from [24.18] to [24.62]","Ceiling from [24.62] to [24.90]","Cube.009 from [24.90] to [25.63]","SmokePlane (14) from [25.63] to [25.89]","Cube from [25.89] to [26.72]","SmokePlane (14) from [26.72] to [26.85]","Cube.009 from [26.85] to [27.10]","Door from [27.10] to [27.45]","SmokePlane (16) from [27.45] to [27.55]","Cube.002 from [27.55] to [27.68]","SmokePlane (16) from [27.68] to [27.81]","Door from [27.81] to [27.93]","Cube.009 from [27.93] to [28.26]","Grid from [28.26] to [28.98]","Plane from [28.98] to [29.11]","Grid.001 from [29.11] to [29.21]","SmokePlane (16) from [29.21] to [29.34]","Cube.002 from [29.34] to [29.46]","SmokePlane (16) from [29.46] to [29.56]","Door from [29.56] to [29.81]","Cube.009 from [29.81] to [30.51]","Frame Right from [30.51] to [30.74]","Door from [30.74] to [30.86]","Cube.009 from [30.86] to [37.54]","SmokePlane (23) from [37.54] to [37.64]","Door from [37.64] to [37.75]"
"Simulation Timings {0.200}","Begining : [20.5]"
