"Player Position X {0.100}",5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.930,5.960,6.413,6.480,6.510,6.500,6.500,6.490,6.550,6.610,6.640,6.680,6.690,6.710,6.710,6.710,6.900,6.920,6.920,6.930,6.950,6.940,7.000,7.030,6.960,6.890,6.890,6.920,6.910,6.910,6.940,6.950,6.920,6.910,6.910,7.020,7.040,7.040,7.150,7.140,7.140,7.160,7.040,6.960,6.506,6.636,6.617,6.487,6.484,6.513,6.460,6.358,6.151,6.020,6.050,6.190,6.230,6.240,6.439,6.850,6.350,6.090,5.790,5.810,5.860,6.030,6.050,6.080,6.810,5.900,5.650,5.390,6.300,5.219,5.210,5.230,5.080,5.080,5.070,5.070,5.070,4.970,4.830,4.370,4.040,3.240,3.240,2.760,2.680,1.720,1.630,1.630,1.540,0.500,0.160,-0.410,-1.240,-1.780,-1.640,-1.240,-0.260,0.180,1.186,1.010,1.340,1.400,1.580,1.760,1.930,2.100,2.260,2.260,2.490,2.490,2.780,3.520,3.520,3.940,4.270,5.320,5.720,5.930,5.910
"Player Position Y {0.100}",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position {0.100}"",4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.050,3.690,3.734,3.398,3.220,3.140,2.910,2.730,2.600,2.340,2.170,2.170,2.520,2.870,3.320,3.450,3.470,2.710,2.420,2.390,2.820,3.290,3.040,2.270,2.200,2.860,3.220,3.220,2.400,2.190,2.220,3.080,3.200,2.590,2.060,2.040,2.840,3.340,3.380,2.490,2.180,2.180,2.720,3.290,3.730,3.738,4.220,4.220,4.220,4.220,4.220,4.510,4.780,4.220,4.260,4.070,3.770,3.850,4.370,5.305,5.420,5.980,6.580,6.940,7.270,7.300,6.780,5.830,5.220,4.460,4.150,3.780,3.450,2.830,2.136,2.136,1.550,0.920,0.720,0.600,0.600,0.600,0.400,0.260,0.110,0.010,-0.410,-0.440,-0.790,-0.870,-1.680,-1.870,-1.870,-1.960,-2.370,-2.021,-2.740,-3.090,-3.250,-3.210,-3.010,-2.630,-2.021,-2.286,-1.620,-1.160,-0.990,-0.680,-0.440,-0.310,-0.230,-0.190,-0.190,-0.130,-0.130,-0.050,0.170,0.170,0.280,0.220,0.100,-0.160,-0.520,-1.080
"Head Rotation X {0.100}",338.914,338.905,338.869,338.905,338.887,338.913,338.914,338.897,338.911,338.913,338.939,338.938,338.930,338.901,338.916,338.917,338.907,338.903,338.905,338.915,338.897,338.910,338.889,338.921,338.921,338.928,338.922,338.914,338.912,338.917,338.930,338.933,338.915,338.932,338.926,338.908,338.933,338.950,338.924,338.918,338.918,338.910,338.913,338.914,338.893,338.908,338.917,338.928,338.926,338.922,338.925,338.930,338.924,338.919,338.919,338.916,338.925,338.920,338.924,338.924,338.921,338.914,338.913,338.920,338.920,338.905,338.920,338.913,338.933,338.926,338.934,338.919,338.909,338.909,338.937,338.923,338.929,338.949,338.924,338.931,338.916,338.922,338.918,338.922,338.910,338.904,338.904,338.911,338.905,338.918,338.934,338.933,338.927,338.912,338.921,338.920,338.932,338.918,338.926,338.932,338.931,338.925,338.934,338.914,338.921,338.921,338.915,338.923,338.920,338.898,338.915,338.921,338.926,338.925,338.919,338.930,338.916,338.920,338.921,338.920,338.928,338.931,338.926,338.920,338.911,338.915,338.917,338.920,338.920,338.925,338.934,338.933,338.935,338.933,338.931,338.916,338.928,338.932,338.927,338.919,338.925,338.920,338.926,338.932,338.925,338.924,338.927,338.934,338.923,338.930,338.919,338.913,338.905,338.906,338.917,338.920,338.928,338.917,338.922,338.917,338.916,338.911,338.919,338.913,338.925,338.924,338.933,338.935,338.904,338.921,338.921,338.935,338.936,338.922,338.939,338.939,338.929,338.922,338.945,338.924,338.925,338.931,338.939,338.936,338.933,338.936,338.925,338.920,338.914,338.915,338.927,338.918,338.912,338.917,338.925,338.921,338.914,338.937,338.912,338.919,338.927,338.912,338.930,338.921,338.913,338.914,338.912,338.907,338.917,338.919,338.927,338.921,338.916,338.918,338.911,338.923,338.933,338.928,338.927,338.927,338.920,338.924,338.918,338.925,338.925,338.937,338.942,338.942,338.928,338.924,338.919,338.925,338.929,338.935,338.927,338.934,338.928,338.933,338.944,338.937,338.924,338.917,338.930,338.917,338.922,338.911,338.921,338.924,338.931,338.929,338.916,338.932,338.933,338.922,338.932,338.908,338.926,338.924,338.908,338.912,338.901,338.914,338.901,338.904,338.913,338.914,338.905,338.910,338.916,338.896,338.912,338.909,338.909,338.918,338.903,338.904,338.910,338.912,338.916,338.923,338.921,338.910,338.923,338.912,338.919,338.918,338.919,338.919,338.909,338.907,338.913,338.902,338.909,338.919,338.919,338.939,338.928,338.919,338.916,338.914,338.915,338.923,338.924,338.909,338.904,338.905,338.898,338.913,338.878,338.912,338.898,338.949,338.936,338.903,338.912,338.931,338.918,338.919,338.910,338.925,338.922,338.906,338.927,338.919,338.914,338.922,338.940,338.927,338.932,338.912,338.918,338.916,338.920,338.916,338.938,338.924,338.934,338.920,338.928,338.934,338.937,338.934,338.929,338.942,338.938,338.946,338.928,338.923,338.927,338.925,338.929,338.928,338.911,338.916,338.904,338.914,338.917,338.916,338.914,338.913,338.912,338.915,338.911,338.917,338.900,338.906,338.916,338.906,338.908,338.909,338.917,338.910,338.917,338.911,338.909,338.913,338.894,338.902,338.920,338.921,338.923,338.924,338.916,338.927,338.916,338.917,338.905,338.915,338.909,338.906,338.904,338.889,338.905,338.899,338.891,338.915,338.915,338.902,338.911,338.911,338.913,338.912,338.925,338.910,338.918,338.915,338.916,338.897,338.907,338.909,338.900,338.918,338.920,338.915,338.926,338.925,338.918,338.921,338.913,338.932,338.926,338.921,338.906,338.917,338.907,338.912,338.917,338.910,338.920,338.918,338.920,338.912,338.897,338.903,338.910,338.914,338.916,338.926,338.928,338.907,338.921,338.908,338.908,338.936,338.899,338.921,338.923,338.924,338.910,338.912,338.917,338.907,338.909
"Head Rotation Y {0.100}",261.300,261.305,261.297,261.298,261.307,261.307,261.296,261.287,261.297,261.290,261.284,261.299,261.308,261.309,261.307,261.311,261.306,261.299,261.316,261.305,261.292,261.286,261.299,261.293,261.287,261.280,261.279,261.290,261.300,261.292,261.296,261.292,261.279,261.301,261.291,261.293,261.299,261.290,261.293,261.301,261.294,261.294,261.297,261.294,261.288,261.296,261.297,261.289,261.295,261.298,261.298,261.294,261.299,261.287,261.312,261.285,261.296,261.301,261.293,261.294,261.300,261.302,261.304,261.307,261.302,261.294,261.301,261.294,261.283,261.278,261.288,261.289,261.284,261.284,261.303,261.299,261.304,261.314,261.302,261.310,261.300,261.316,261.305,261.304,261.300,261.305,261.301,261.306,261.299,261.300,261.307,261.319,261.307,261.291,261.298,261.298,261.294,261.302,261.311,261.315,261.312,261.305,261.309,261.315,261.303,261.300,261.300,261.294,261.279,261.287,261.284,261.298,261.290,261.282,261.281,261.275,261.281,261.288,261.289,261.304,261.292,261.282,261.282,261.279,261.282,261.281,261.283,261.282,261.270,261.288,261.294,261.283,261.287,261.292,261.290,261.284,261.295,261.301,261.308,261.308,261.301,261.289,261.290,261.305,261.310,261.313,261.317,261.303,261.317,261.319,261.310,261.314,261.306,261.307,261.310,261.314,261.322,261.322,261.316,261.304,261.291,261.292,261.295,261.299,261.295,261.299,261.302,261.298,261.297,261.296,261.304,261.300,261.308,261.314,261.311,261.307,261.306,261.307,261.293,261.295,261.291,261.296,261.293,261.291,261.288,261.288,261.283,261.274,261.278,261.299,261.293,261.301,261.296,261.298,261.302,261.307,261.295,261.302,261.307,261.296,261.300,261.284,261.279,261.280,261.293,261.300,261.299,261.296,261.298,261.300,261.302,261.312,261.310,261.295,261.298,261.298,261.293,261.291,261.301,261.296,261.300,261.297,261.290,261.300,261.298,261.303,261.295,261.303,261.297,261.298,261.312,261.306,261.306,261.308,261.317,261.317,261.308,261.295,261.296,261.301,261.293,261.288,261.291,261.306,261.311,261.309,261.307,261.308,261.301,261.306,261.312,261.307,261.310,261.307,261.294,261.292,261.289,261.291,261.289,261.290,261.292,261.291,261.306,261.297,261.286,261.285,261.286,261.288,261.280,261.288,261.280,261.276,261.296,261.292,261.293,261.294,261.299,261.297,261.289,261.294,261.280,261.283,261.286,261.288,261.290,261.289,261.300,261.288,261.296,261.282,261.287,261.276,261.279,261.282,261.277,261.285,261.280,261.293,261.305,261.297,261.301,261.304,261.310,261.317,261.315,261.312,261.312,261.300,261.317,261.302,261.305,261.312,261.312,261.301,261.304,261.313,261.316,261.313,261.309,261.300,261.324,261.305,261.317,261.314,261.307,261.312,261.310,261.307,261.312,261.319,261.319,261.327,261.317,261.305,261.287,261.289,261.296,261.288,261.288,261.299,261.295,261.301,261.287,261.288,261.284,261.290,261.281,261.287,261.288,261.294,261.297,261.302,261.289,261.297,261.293,261.284,261.286,261.279,261.286,261.296,261.296,261.303,261.310,261.301,261.304,261.312,261.312,261.314,261.297,261.312,261.302,261.312,261.309,261.307,261.310,261.309,261.293,261.294,261.306,261.309,261.309,261.312,261.316,261.315,261.299,261.309,261.287,261.297,261.297,261.299,261.310,261.306,261.288,261.286,261.280,261.267,261.283,261.285,261.306,261.300,261.296,261.305,261.308,261.318,261.316,261.324,261.314,261.304,261.298,261.302,261.302,261.286,261.296,261.292,261.296,261.294,261.297,261.301,261.305,261.292,261.299,261.291,261.282,261.289,261.287,261.288,261.281,261.301,261.298,261.304,261.309,261.295,261.296,261.285,261.289,261.266,261.279,261.291,261.284,261.278,261.286,261.289,261.291,261.290,261.289,261.308,261.288,261.291,261.289,261.305,261.304,261.273,261.318
"Head Rotation {0.100}"",359.106,359.099,359.104,359.109,359.097,359.095,359.109,359.105,359.097,359.111,359.090,359.090,359.094,359.088,359.093,359.099,359.097,359.103,359.089,359.092,359.097,359.098,359.099,359.097,359.094,359.093,359.091,359.097,359.101,359.110,359.116,359.105,359.114,359.094,359.100,359.101,359.093,359.092,359.088,359.094,359.093,359.093,359.092,359.093,359.100,359.099,359.092,359.094,359.097,359.092,359.101,359.092,359.093,359.092,359.091,359.098,359.096,359.086,359.085,359.081,359.095,359.080,359.073,359.083,359.087,359.088,359.082,359.093,359.105,359.096,359.093,359.099,359.084,359.087,359.082,359.078,359.073,359.079,359.085,359.080,359.060,359.079,359.078,359.074,359.075,359.072,359.084,359.088,359.077,359.070,359.071,359.073,359.067,359.077,359.083,359.076,359.076,359.084,359.078,359.078,359.086,359.076,359.071,359.073,359.078,359.089,359.089,359.090,359.097,359.099,359.096,359.089,359.092,359.094,359.087,359.085,359.087,359.090,359.090,359.086,359.085,359.094,359.099,359.090,359.095,359.100,359.093,359.100,359.092,359.075,359.084,359.089,359.077,359.079,359.080,359.076,359.081,359.079,359.075,359.070,359.070,359.088,359.080,359.078,359.074,359.080,359.081,359.085,359.074,359.079,359.075,359.077,359.071,359.076,359.075,359.082,359.077,359.086,359.075,359.086,359.091,359.087,359.078,359.068,359.069,359.083,359.074,359.091,359.084,359.087,359.073,359.078,359.072,359.063,359.072,359.062,359.064,359.065,359.079,359.083,359.081,359.081,359.080,359.077,359.073,359.083,359.079,359.077,359.081,359.073,359.069,359.068,359.078,359.078,359.057,359.080,359.078,359.070,359.069,359.077,359.076,359.083,359.086,359.088,359.081,359.075,359.086,359.092,359.090,359.086,359.078,359.077,359.077,359.084,359.095,359.093,359.098,359.101,359.089,359.089,359.084,359.081,359.076,359.081,359.072,359.073,359.073,359.061,359.065,359.076,359.082,359.080,359.073,359.084,359.074,359.080,359.083,359.078,359.075,359.079,359.084,359.076,359.079,359.070,359.061,359.074,359.074,359.071,359.075,359.084,359.088,359.081,359.074,359.078,359.078,359.074,359.088,359.088,359.089,359.093,359.097,359.093,359.096,359.092,359.097,359.097,359.089,359.096,359.092,359.082,359.094,359.102,359.090,359.090,359.087,359.087,359.088,359.093,359.096,359.102,359.103,359.105,359.110,359.105,359.107,359.103,359.099,359.106,359.098,359.109,359.102,359.108,359.103,359.092,359.103,359.096,359.095,359.098,359.078,359.102,359.085,359.098,359.088,359.086,359.083,359.091,359.093,359.104,359.090,359.077,359.078,359.069,359.063,359.073,359.070,359.071,359.071,359.077,359.067,359.085,359.071,359.076,359.066,359.076,359.091,359.083,359.075,359.089,359.081,359.075,359.068,359.067,359.065,359.060,359.073,359.080,359.085,359.088,359.087,359.079,359.073,359.064,359.078,359.083,359.087,359.081,359.092,359.088,359.091,359.084,359.080,359.085,359.085,359.083,359.092,359.091,359.087,359.087,359.089,359.074,359.081,359.086,359.087,359.105,359.085,359.085,359.084,359.082,359.089,359.082,359.088,359.077,359.082,359.083,359.089,359.075,359.083,359.089,359.081,359.080,359.079,359.080,359.074,359.067,359.073,359.074,359.080,359.085,359.086,359.094,359.092,359.098,359.100,359.096,359.093,359.093,359.081,359.090,359.078,359.082,359.084,359.080,359.086,359.067,359.078,359.076,359.073,359.081,359.098,359.088,359.094,359.099,359.091,359.095,359.095,359.095,359.094,359.093,359.090,359.091,359.088,359.094,359.100,359.103,359.110,359.095,359.105,359.090,359.092,359.100,359.088,359.092,359.095,359.093,359.083,359.108,359.089,359.096,359.093,359.112,359.094,359.100,359.097,359.093,359.084,359.070,359.086,359.088,359.092,359.093,359.087,359.098,359.080
"Player Height {0.100}",0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.824,0.823,0.823,0.823,0.824,0.824,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823
"Object Viewed {0.100}","SmokePlane (14) from [33.56] to [71.33]","Cube.009 from [71.33] to [76.46]","SmokePlane (14) from [76.46] to [77.06]","Cube from [77.06] to [77.20]","Cube.004 from [77.20] to [77.30]","SmokePlane (14) from [77.30] to [77.66]","Cube.009 from [77.66] to [77.87]","SmokePlane (14) from [77.87] to [78.00]","Cube.009 from [78.00] to [78.91]","Frame Top from [78.91] to [79.14]","SmokePlane (14) from [79.14] to [79.37]","Cube.009 from [79.37] to [79.94]","SmokePlane (16) from [79.94] to [81.04]","SmokePlane (14) from [81.04] to [81.51]","Closet Door Left from [81.51] to [81.87]","Mircrowave from [81.87] to [81.97]","Cube.004 from [81.97] to [82.45]","Cube.004 from [82.45] to [82.67]","Cube.004 from [82.67] to [82.77]","Door from [82.77] to [82.99]","Mircrowave from [82.99] to [83.10]","Closet Door Left from [83.10] to [83.24]","Closet from [83.24] to [83.34]","Closet Door Right from [83.34] to [83.45]","Handle from [83.45] to [83.57]","SmokePlane (20) from [83.57] to [83.80]","SmokePlane (18) from [83.80] to [84.13]","SmokePlane (14) from [84.13] to [84.81]","SmokePlane (16) from [84.81] to [85.27]"
