"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
2.462,0.000,2.121,32.861,263.292,4.083,1.494,"Wall_door_307 from [126.94] to [127.61]","Begining : [127.0]"
2.329,0.000,2.147,35.861,249.116,359.094,1.487,"Wall_bathroom_307 from [127.61] to [127.84]",
2.201,0.000,2.156,37.352,245.132,357.475,1.484,"Wall_door_307 from [127.84] to [129.55]",
2.049,0.000,2.182,38.035,253.253,1.394,1.481,"Wall_WC_307 from [129.55] to [129.65]",
1.987,0.000,2.304,35.957,282.972,13.663,1.480,"Wall_north_307 from [129.65] to [130.20]",
2.027,0.000,2.457,35.757,303.082,19.692,1.475,"shower_doors_307.01 from [130.20] to [130.75]",
2.081,0.000,2.576,38.504,304.052,18.552,1.470,"Bathroom_Door_307 from [130.75] to [131.76]",
2.116,0.000,2.696,39.936,294.265,12.007,1.469,"Bathroom_door_frame_right from [131.76] to [131.88]",
2.086,0.000,2.728,40.129,284.176,6.340,1.470,"Wall_bathroom_door_307 from [131.88] to [131.99]",
1.985,0.000,2.756,39.563,278.785,5.003,1.472,"Bathroom_Door_307 from [131.99] to [132.90]",
1.935,0.000,2.768,39.997,278.332,5.977,1.472,"XR Origin from [132.90] to [133.02]",
1.927,0.000,2.773,42.414,276.522,6.757,1.466,"Bathroom_Door_307 from [133.02] to [133.78]",
1.925,0.000,2.774,43.187,273.551,6.761,1.463,"Bathroom_door_handle_307 from [133.78] to [133.89]",
1.925,0.000,2.774,44.373,271.587,6.351,1.460,"Bathroom_Door_307 from [133.89] to [134.33]",
1.925,0.000,2.774,44.439,270.690,5.892,1.461,"Duvet02_307 from [134.33] to [134.77]",
1.925,0.000,2.774,44.070,269.226,6.432,1.461,"Bedspring01_307 from [134.77] to [134.88]",
1.925,0.000,2.772,43.148,266.841,6.195,1.464,"Bed_mattress_top_307 from [134.88] to [135.44]",
1.900,0.000,2.681,41.734,261.714,4.922,1.468,"Cushion_east_307 from [135.44] to [135.76]",
1.827,0.000,2.554,39.788,255.477,4.580,1.474,"Duvet02_307 from [135.76] to [136.21]",
1.795,0.000,2.421,38.865,249.911,4.075,1.476,"Plaid_307 from [136.21] to [136.65]",
1.821,0.000,2.270,37.996,242.413,3.458,1.479,"Ground_307 from [136.65] to [137.30]",
1.877,0.000,2.128,38.320,242.168,5.368,1.478,"Wall_south_307 from [137.30] to [137.42]",
1.995,0.000,2.061,38.234,228.424,2.929,1.480,"Ground_307 from [137.42] to [137.64]",
2.134,0.000,2.090,38.095,204.022,356.337,1.480,"Wall_window_307 from [137.64] to [137.75]",
2.222,0.000,2.196,38.229,189.567,352.657,1.478,"Cushion_west_307 from [137.75] to [137.86]",
2.254,0.000,2.317,36.296,179.749,351.413,1.482,"SmokePlane (34) from [137.86] to [138.08]",
2.249,0.000,2.454,34.986,175.194,353.496,1.486,"Wall_bathroom_door_307 from [138.08] to [138.42]",
2.195,0.000,2.580,32.118,163.625,352.684,1.491,"SmokePlane (26) from [138.42] to [139.08]",
2.138,0.000,2.706,31.103,154.646,352.213,1.492,"Closet_door_right_307 from [139.08] to [139.31]",
2.143,0.000,2.828,30.097,150.559,353.516,1.494,"SmokePlane (5) from [139.31] to [140.64]",
2.143,0.000,2.895,29.088,148.773,354.933,1.495,"Door_307 from [140.64] to [142.17]",
2.143,0.000,2.895,29.460,148.119,355.619,1.500,"SmokePlane (5) from [142.17] to [142.51]",
2.087,0.000,2.832,28.961,147.318,357.188,1.499,"Door_307 from [142.51] to [143.06]",
2.107,0.000,2.753,29.384,145.168,356.509,1.500,"SmokePlane (5) from [143.06] to [144.72]",
2.135,0.000,2.659,28.719,143.390,354.895,1.502,"NPC Evacuation Trigger from [144.72] to [145.39]",
2.145,0.000,2.560,28.603,141.103,354.468,1.501,"TriggerZone HelpingChoice from [145.39] to [145.50]",
2.145,0.000,2.461,28.046,139.962,354.266,1.502,"SmokePlane (15) from [145.50] to [146.28]",
2.165,0.000,2.352,27.168,136.235,355.486,1.507,"NPC Hurt Kate from [146.28] to [146.61]",
2.185,0.000,2.228,27.291,130.237,356.113,1.507,"SmokePlane (5) from [146.61] to [146.84]",
2.308,0.000,2.164,28.921,122.537,355.750,1.503,"Wall_door_308 from [146.84] to [147.61]",
2.308,0.000,2.164,28.976,117.101,357.252,1.503,"NPC Hurt Kate from [147.61] to [148.28]",
2.335,0.000,2.084,29.805,115.388,358.432,1.497,"Wall_door_308 from [148.28] to [150.39]",
2.473,0.000,2.099,30.472,115.420,1.103,1.496,"SmokePlane (6) from [150.39] to [150.50]",
2.624,0.000,2.122,29.505,109.765,0.797,1.499,"Wall_door_308 from [150.50] to [150.61]",
2.703,0.000,2.125,33.206,107.390,1.054,1.490,"NPC Hurt Kate from [150.61] to [150.84]",
2.708,0.000,2.125,35.358,114.164,3.964,1.487,"Wall_door_308 from [150.84] to [150.94]",
2.752,0.000,2.056,35.692,118.897,5.265,1.486,"SmokePlane (6) from [150.94] to [154.60]",
2.774,0.000,1.952,36.597,121.590,4.788,1.484,"SmokePlane (15) from [154.60] to [156.16]",
2.783,0.000,1.835,36.446,124.079,4.149,1.487,"SmokePlane (6) from [156.16] to [157.26]",
2.783,0.000,1.712,37.740,122.808,3.756,1.483,"SmokePlane (08) from [157.26] to [159.62]",
2.818,0.000,1.591,42.155,113.716,0.797,1.472,"SmokePlane (07) from [159.62] to [161.73]",
2.818,0.000,1.527,42.361,102.475,356.335,1.470,"SmokePlane (09) from [161.73] to [162.62]",
2.818,0.000,1.527,42.023,86.798,351.930,1.469,"NPC Joe from [162.62] to [162.73]",
2.732,0.000,1.476,41.498,76.129,349.541,1.471,"SmokePlane (1) from [162.73] to [163.28]",
2.682,0.000,1.439,40.538,71.350,350.494,1.474,"NPC Jody from [163.28] to [163.40]",
2.682,0.000,1.439,38.446,71.610,352.989,1.480,"NPC Josh from [163.40] to [163.50]",
2.568,0.000,1.377,37.595,70.645,352.411,1.483,"NPC Joe from [163.50] to [163.62]",
2.414,0.000,1.297,37.231,69.084,351.133,1.483,"SmokePlane (09) from [163.62] to [165.50]",
2.261,0.000,1.220,36.080,68.227,350.570,1.487,"SmokePlane (10) from [165.50] to [167.84]",
2.107,0.000,1.173,33.935,67.879,350.774,1.492,"SmokePlane (11) from [167.84] to [170.17]",
1.978,0.000,1.219,32.715,67.416,350.858,1.495,"SmokePlane (13) from [170.17] to [172.28]",
1.976,0.000,1.280,32.130,68.683,351.642,1.497,"SmokePlane (25) from [172.28] to [174.72]",
1.965,0.000,1.352,31.019,73.745,353.807,1.500,"Wall_door_302 from [174.72] to [175.84]",
1.916,0.000,1.468,32.132,77.726,355.341,1.499,"TriggerZone from [175.84] to [176.40]",
