"Player Position X",4.727,4.727,4.751,4.767,4.767,4.767,4.767,4.767,4.764,4.727,4.608,4.459,4.324,4.152,4.055,3.945,3.824,3.691,3.570,3.421,3.288,3.144,3.012,2.884,2.739,2.621,2.485,2.363,2.240,2.118,1.965,1.818,1.745,1.861,2.018,2.177,2.181,2.056,1.916,1.757,1.640,1.531,1.426,1.313,1.207,1.110,1.004,0.897,0.788,0.726,0.700,0.675,0.699,0.749,0.796,0.809,0.811,0.774,0.689,0.591,0.511,0.496,0.509,0.532,0.562,0.591,0.634,0.711,0.740,0.752,0.752,0.766,0.811,0.885,1.007,1.158,1.286,1.429,1.569,1.725,1.858,2.011,2.169,2.302,2.457,2.611,2.765,2.894,3.015,3.139,3.276,3.425,3.577,3.744,3.893,4.046,4.199,4.352,4.488,4.623,4.737,4.866,5.007,5.144,5.283,5.409,5.529,5.629,5.693,5.747,5.809,5.869,5.919,5.965,6.006,6.045,6.077,6.055,6.014
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",4.106,4.106,4.019,3.905,3.905,3.905,3.905,3.905,3.886,3.791,3.808,3.822,3.860,3.825,3.921,3.995,4.057,4.047,3.993,3.927,3.900,3.889,3.885,3.877,3.856,3.828,3.795,3.770,3.746,3.719,3.683,3.645,3.629,3.657,3.668,3.676,3.665,3.643,3.636,3.637,3.691,3.788,3.876,3.952,4.037,4.149,4.238,4.335,4.339,4.226,4.100,3.951,3.795,3.663,3.528,3.401,3.268,3.152,3.048,2.948,2.811,2.682,2.522,2.364,2.202,2.063,1.938,1.804,1.678,1.530,1.394,1.267,1.115,0.979,0.933,0.928,0.957,1.008,1.008,1.008,0.933,0.940,0.949,0.879,0.902,0.816,0.815,0.813,0.787,0.753,0.717,0.695,0.693,0.691,0.683,0.669,0.635,0.588,0.536,0.470,0.404,0.333,0.278,0.217,0.141,0.065,-0.017,-0.104,-0.199,-0.310,-0.445,-0.580,-0.707,-0.831,-0.867,-0.954,-1.093,-1.238,-1.383
"Head Rotation X",21.342,30.035,35.461,35.286,30.371,23.031,17.569,11.719,7.793,5.505,3.749,3.627,1.892,0.258,359.600,0.682,2.300,2.262,359.533,355.283,350.017,345.930,345.332,350.765,358.891,9.174,15.852,20.113,22.038,23.301,23.740,23.942,25.569,23.765,15.946,7.696,4.101,0.191,356.359,352.658,347.529,341.144,335.251,332.412,331.475,337.967,343.153,347.476,351.116,354.323,354.422,353.849,353.236,352.682,352.471,352.139,351.557,351.445,353.304,353.694,355.214,356.624,357.934,358.962,359.587,0.192,1.130,2.952,4.416,6.429,7.412,8.637,8.686,8.335,7.534,6.137,4.279,2.807,2.127,1.736,359.541,357.884,356.744,355.881,355.435,353.486,350.944,349.729,348.757,348.288,347.402,346.941,346.547,346.635,347.272,348.247,351.452,3.502,11.466,11.350,12.153,12.523,12.498,12.080,11.671,11.864,12.356,12.327,12.242,12.802,12.681,12.474,12.576,13.261,13.612,15.006,13.089,8.527,6.522
"Head Rotation Y",147.154,151.190,154.792,159.846,162.695,158.151,151.467,145.071,143.266,188.056,192.202,201.338,212.768,268.927,278.571,283.395,284.761,280.596,275.955,270.044,265.998,263.600,262.170,262.366,263.059,262.676,262.340,262.013,261.266,260.476,259.367,258.244,258.407,259.615,259.865,260.405,262.476,265.926,267.542,268.403,268.103,266.347,264.113,262.097,257.463,236.610,219.655,209.016,199.498,192.306,190.073,188.682,188.526,188.840,189.234,189.408,189.502,189.772,189.634,188.226,183.380,177.482,173.273,169.814,167.370,165.689,164.188,162.750,161.740,158.628,155.328,149.427,143.446,137.737,134.576,131.106,128.382,127.478,126.837,126.773,126.743,127.144,126.393,125.006,122.329,119.953,118.738,116.858,117.844,118.619,118.905,119.849,120.691,122.540,124.952,127.464,130.306,132.560,135.277,137.823,139.358,141.146,142.921,145.196,147.880,150.422,152.681,154.345,155.008,156.034,157.268,157.790,158.126,158.735,159.775,161.519,163.470,165.703,166.509
"Head Rotation Z",4.104,1.349,2.189,2.723,3.129,0.817,358.740,357.821,358.400,358.867,359.394,359.917,0.981,1.922,2.706,2.691,2.882,3.013,2.633,2.521,2.526,3.021,3.027,2.429,1.931,1.347,0.400,0.076,0.257,0.136,359.834,0.013,0.484,0.238,2.000,3.423,3.677,3.897,3.859,2.931,1.386,0.255,359.889,0.245,1.710,4.538,5.024,5.583,5.870,5.354,5.143,5.440,5.616,5.354,4.831,4.746,4.626,4.038,2.546,1.933,1.603,0.841,0.375,359.779,358.774,357.673,357.111,355.293,352.881,349.477,347.575,344.244,341.939,341.175,342.199,343.843,347.367,350.628,353.474,356.231,0.023,1.633,2.529,2.916,3.888,4.394,2.741,2.813,1.790,1.877,2.051,2.417,4.231,4.833,5.142,5.315,4.819,2.469,1.145,1.121,1.252,0.965,1.206,1.519,2.284,2.250,2.016,2.308,4.098,3.790,4.185,5.077,4.760,4.553,4.084,3.846,3.719,3.999,4.016
"Player Height",1.549,1.534,1.518,1.514,1.525,1.540,1.552,1.564,1.573,1.578,1.582,1.583,1.585,1.588,1.590,1.587,1.584,1.583,1.587,1.595,1.603,1.609,1.611,1.606,1.591,1.573,1.561,1.553,1.549,1.545,1.545,1.544,1.542,1.541,1.557,1.574,1.580,1.586,1.592,1.599,1.606,1.614,1.620,1.625,1.627,1.622,1.614,1.606,1.601,1.596,1.595,1.595,1.595,1.596,1.597,1.597,1.598,1.598,1.597,1.597,1.594,1.591,1.588,1.586,1.583,1.581,1.577,1.572,1.565,1.551,1.533,1.515,1.503,1.494,1.496,1.504,1.517,1.532,1.541,1.547,1.555,1.563,1.569,1.573,1.577,1.582,1.592,1.598,1.603,1.605,1.605,1.605,1.605,1.604,1.599,1.596,1.594,1.576,1.560,1.557,1.556,1.555,1.555,1.556,1.556,1.556,1.554,1.553,1.553,1.553,1.553,1.554,1.554,1.552,1.551,1.548,1.551,1.561,1.568
