"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
4.925,0.000,3.173,51.221,215.078,4.891,0.922,"Cushion_west_307 from [176.97] to [177.08]","Begining : [177.0]"
4.925,0.000,3.173,52.996,213.323,5.962,0.868,"XR Origin from [177.08] to [178.86]",
4.925,0.000,3.173,56.015,211.860,6.566,0.826,"Wall_north_307 from [178.86] to [179.42]",
4.925,0.000,3.173,56.250,213.355,6.770,0.822,"Cushion_east_307 from [179.42] to [179.53]",
4.925,0.000,3.173,56.020,212.171,6.193,0.826,"Bathroom_Door_307 from [179.53] to [179.64]",
4.925,0.000,3.173,56.752,213.386,7.103,0.827,"Wall_door_bathroom_307 from [179.64] to [182.08]",
4.925,0.000,3.173,56.550,214.147,7.305,0.837,"XR Origin from [182.08] to [182.20]",
4.925,0.000,3.173,56.190,213.797,6.812,0.841,"Wall_door_bathroom_307 from [182.20] to [183.08]",
4.925,0.000,3.173,57.754,213.536,6.457,0.831,"Ground_307 from [183.08] to [183.75]",
4.925,0.000,3.173,58.086,213.595,6.698,0.827,"Closet_307 from [183.75] to [183.97]",
4.925,0.000,3.173,58.547,211.480,4.820,0.825,"Cupboard_307 from [183.97] to [184.08]",
4.925,0.000,3.173,59.588,208.985,3.189,0.821,"Countertop_307 from [184.08] to [184.53]",
4.925,0.000,3.173,59.858,210.841,5.052,0.821,"Closet_307 from [184.53] to [184.64]",
4.925,0.000,3.173,59.338,211.018,5.122,0.833,"Closet_door_left_307 from [184.64] to [184.75]",
4.925,0.000,3.173,56.736,211.835,6.117,0.860,"Closet_door_right_307 from [184.75] to [185.20]",
4.925,0.000,3.173,53.043,212.267,6.607,0.912,"Closet_door_left_307 from [185.20] to [186.75]",
4.925,0.000,3.173,46.824,209.830,4.658,0.992,"Closet_door_right_307 from [186.75] to [186.86]",
4.925,0.000,3.173,39.618,205.033,0.871,1.093,"RightHand Controller from [186.86] to [187.08]",
4.925,0.000,3.173,34.390,201.352,357.613,1.200,"Closet_door_left_307 from [187.08] to [188.19]",
4.925,0.000,3.173,30.825,201.649,357.099,1.297,"SmokePlane (5) from [188.19] to [189.86]",
4.871,0.000,3.175,32.840,209.809,358.270,1.368,"Door_307 from [189.86] to [189.97]",
4.782,0.000,3.195,35.568,221.732,1.761,1.419,"SmokePlane (5) from [189.97] to [190.08]",
4.701,0.000,3.239,34.674,236.709,2.332,1.451,"NPC Evacuation Trigger from [190.08] to [190.97]",
4.645,0.000,3.328,34.396,248.866,5.343,1.460,"SmokePlane (5) from [190.97] to [192.75]",
4.645,0.000,3.470,33.376,268.109,6.420,1.468,"NPC Evacuation Trigger from [192.75] to [193.30]",
4.678,0.000,3.601,33.052,273.591,5.018,1.471,"SmokePlane (15) from [193.30] to [193.97]",
4.711,0.000,3.742,32.205,271.621,2.346,1.473,"SmokePlane (17) from [193.97] to [195.41]",
4.691,0.000,3.851,31.617,269.567,1.664,1.474,"Frame Left from [195.41] to [195.52]",
4.634,0.000,3.946,30.677,267.220,1.654,1.475,"NPC Megan from [195.52] to [196.19]",
4.545,0.000,4.016,29.193,264.219,1.301,1.479,"Wall_door_311 from [196.19] to [196.41]",
4.437,0.000,4.059,28.328,260.612,0.848,1.481,"SmokePlane (18) from [196.41] to [197.28]",
4.311,0.000,4.090,27.762,257.614,0.260,1.482,"SmokePlane (33) from [197.28] to [199.24]",
4.188,0.000,4.111,27.605,255.207,0.576,1.482,"Wall_door_311 from [199.24] to [199.35]",
4.060,0.000,4.127,26.965,253.393,0.512,1.485,"SmokePlane (17) from [199.35] to [200.24]",
3.931,0.000,4.138,26.655,251.218,0.404,1.486,"Wall_door_310 from [200.24] to [200.77]",
3.801,0.000,4.143,26.832,248.093,0.221,1.487,"Wall_door_309 from [200.77] to [202.63]",
3.672,0.000,4.141,27.087,245.128,0.498,1.486,"Door_309 from [202.63] to [206.23]",
3.535,0.000,4.132,27.633,243.777,0.509,1.485,"RightHand Controller from [206.23] to [206.33]",
3.412,0.000,4.123,28.015,243.320,0.274,1.484,"Door_309 from [206.33] to [206.99]",
3.282,0.000,4.114,28.542,243.137,0.557,1.482,"Wall_bathroom_door_309 from [206.99] to [207.55]",
3.148,0.000,4.102,29.659,242.257,1.159,1.481,"Plane from [207.55] to [207.66]",
3.023,0.000,4.087,32.049,240.449,1.891,1.476,"Wall_window_309 from [207.66] to [207.98]",
2.893,0.000,4.067,34.067,238.522,1.944,1.472,"Big Window from [207.98] to [208.20]",
2.766,0.000,4.043,36.409,235.984,2.198,1.467,"Wall_window_309 from [208.20] to [210.53]",
2.639,0.000,4.011,39.621,232.702,2.602,1.461,"Door_309 from [210.53] to [210.74]",
2.516,0.000,3.963,43.293,228.453,1.757,1.454,"Wall_window_309 from [210.74] to [211.39]",
2.399,0.000,3.902,45.796,223.567,358.591,1.449,"Ground from [211.39] to [212.70]",
2.284,0.000,3.833,46.192,221.324,358.130,1.448,"Wall_window_309 from [212.70] to [217.22]",
2.241,0.000,3.806,46.154,221.232,358.534,1.448,"Grid from [217.22] to [218.22]",
2.241,0.000,3.806,45.934,223.537,358.726,1.448,"Wall_window_309 from [218.22] to [218.77]",
2.227,0.000,3.823,45.161,231.670,0.036,1.450,"Wall_bathroom_door_309 from [218.77] to [218.87]",
2.166,0.000,3.914,43.592,247.680,2.556,1.451,"Wall_bathroom_309 from [218.87] to [218.99]",
2.143,0.000,4.030,41.413,266.614,5.927,1.452,"Closet Door Right from [218.99] to [219.11]",
2.162,0.000,4.162,40.556,275.993,5.528,1.452,"Closet Door Left from [219.11] to [219.21]",
2.199,0.000,4.299,40.957,277.194,3.567,1.449,"SmokePlane (34) from [219.21] to [221.31]",
2.243,0.000,4.437,41.104,276.658,2.406,1.449,"Door_309 from [221.31] to [221.98]",
2.281,0.000,4.576,40.014,274.161,1.715,1.452,"SmokePlane (34) from [221.98] to [222.39]",
2.284,0.000,4.711,38.626,269.834,1.401,1.455,"Door_309 from [222.39] to [222.50]",
2.223,0.000,4.811,37.051,264.215,1.030,1.459,"SmokePlane (34) from [222.50] to [223.38]",
2.138,0.000,4.891,36.045,259.599,1.072,1.462,"SmokePlane (20) from [223.38] to [224.15]",
2.039,0.000,4.948,36.182,255.038,1.355,1.462,"SmokePlane (31) from [224.15] to [224.93]",
1.926,0.000,4.981,37.417,249.643,1.983,1.460,"SmokePlane (29) from [224.93] to [225.80]",
1.804,0.000,4.986,38.290,243.654,2.032,1.459,"SmokePlane (26) from [225.80] to [225.91]",
1.680,0.000,4.948,39.874,237.608,2.136,1.456,"SmokePlane (32) from [225.91] to [226.02]",
1.566,0.000,4.877,41.664,233.507,2.787,1.452,"SmokePlane (15) from [226.02] to [226.57]",
1.470,0.000,4.770,45.429,230.003,2.946,1.443,"SmokePlane (30) from [226.57] to [227.66]",
1.470,0.000,4.770,46.121,229.990,4.023,1.442,"SmokePlane (23) from [227.66] to [228.55]",
1.470,0.000,4.770,44.045,234.460,4.820,1.446,"SmokePlane (18) from [228.55] to [228.77]",
1.470,0.000,4.770,39.059,241.776,5.909,1.456,"Wall_door_311 from [228.77] to [228.88]",
