"Player Position X {0.100}",5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.400,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.401,5.400,5.401,5.401,5.228
"Player Position Y {0.100}",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z {0.100}",3.973,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.837,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.654,3.654,3.654,3.654,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.420,-0.950,-1.090,-1.311
"Head Rotation X {0.100}",349.895,346.240,341.151,338.069,336.660,332.039,325.259,319.604,317.009,312.488,305.991,296.289,294.985,298.030,306.886,310.317,318.261,323.150,326.963,331.340,341.961,350.425,348.553,346.459,346.944,347.827,346.362,343.854,342.179,340.395,331.144,328.004,331.912,337.643,338.666,344.385,350.442,0.461,9.482,11.555,2.069,355.591,358.291,2.279,1.058,356.147,353.071,352.637,340.981,326.834,318.114,311.313,304.678,299.853,294.899,295.445,304.125,317.568,334.882,354.862,2.949,8.203,10.548,14.033,14.690,10.918,7.966,4.497,5.353,5.108,358.738,346.340,339.551,332.917,329.951,330.112,333.706,335.267,332.640,323.650,309.932,296.751,296.475,299.335,294.356,287.803,288.766,292.115,291.360,291.701,288.823,282.972,272.036,281.222,289.046,294.189,297.926,307.098,314.729,327.101,332.505,332.435,337.478,342.202,348.947,356.142,5.866,19.658,26.451,28.407,23.477,13.735,358.478,346.982,337.714,333.990,340.234,355.284,5.713,18.589,23.703,25.247,27.011,29.646,34.568,44.824,47.175,46.767,47.736,51.491,51.686,53.647,54.351,55.184,54.596,54.461,48.547,34.666,14.524,3.815,340.336,333.491,332.425,332.245,331.351,326.179,322.387,322.733,322.228,319.369,314.515,314.438,318.439,319.063,315.432,307.703,297.037,285.812,280.377,285.889,290.716,294.719,299.559,313.399,341.140,342.223,338.748,333.151,328.203,327.324,329.473,333.559,334.998,332.701,326.484,329.324,339.592,347.049,350.882,348.116,342.053,346.635,352.852,352.110,352.136,351.331,351.666,351.713,351.571,351.613,351.626,351.623,351.643,351.621,351.631,351.656,351.643,351.638,351.641,351.641,351.640,351.642,351.634,351.637,351.627,351.650,351.658,351.658,351.639,351.653,351.645,351.624,351.655,351.658,351.658,351.665,351.671,351.670,351.683,351.664,351.663,351.650,351.665,351.645,351.656,351.665,351.674,351.659,351.660,351.650,351.640,351.641,351.647,351.647,351.662,351.648,351.643,351.636,351.647,351.641,351.654,351.648,351.647,351.655,351.648,351.654,351.665,351.670,351.651,351.654,351.661,351.656,351.660,351.671,351.662,351.657,351.651,351.658,351.643,351.655,351.650,351.651,351.655,351.658
"Head Rotation Y {0.100}",229.867,230.906,223.673,215.023,211.644,211.040,211.741,208.599,208.784,211.468,218.411,229.434,238.121,242.846,256.709,262.274,268.914,276.205,277.820,275.549,272.192,264.395,252.560,228.826,205.558,185.460,170.650,161.305,142.905,140.549,128.967,114.379,109.148,105.998,103.517,102.692,106.256,114.109,127.520,147.775,177.531,202.174,214.738,222.687,229.583,237.265,244.648,248.300,246.024,247.222,252.650,259.907,265.019,263.520,258.509,239.729,220.992,209.533,201.115,198.964,198.963,198.361,199.072,202.114,208.424,225.004,226.848,231.437,231.483,228.850,238.561,257.305,269.013,273.896,277.491,284.477,282.502,280.270,279.751,282.727,296.232,312.914,323.067,325.328,329.430,348.339,12.909,16.478,15.236,15.044,14.820,11.692,340.892,204.493,199.231,188.738,181.464,177.492,175.284,170.167,164.193,160.282,162.987,165.017,166.843,170.752,173.228,177.062,185.479,189.085,189.579,188.206,189.970,194.499,200.546,211.088,216.245,226.444,224.885,216.539,217.693,222.585,225.905,225.552,225.658,229.787,233.685,237.381,237.698,249.929,261.710,273.589,274.909,270.308,267.900,268.243,240.608,226.306,222.994,223.658,228.819,229.127,231.734,238.118,248.060,262.634,289.228,295.552,298.232,306.456,329.632,351.342,7.997,25.826,40.854,49.702,56.102,65.011,121.170,130.645,130.281,142.189,176.995,197.041,193.549,185.517,178.883,180.675,188.560,197.740,209.928,225.518,240.172,263.417,281.151,280.653,271.926,262.028,255.033,252.488,254.616,255.631,256.538,256.323,255.890,256.489,256.480,256.363,256.335,256.346,256.334,256.324,256.311,256.310,256.304,256.308,256.299,256.303,256.311,256.306,256.313,256.311,256.310,256.297,256.309,256.301,256.292,256.302,256.301,256.295,256.288,256.292,256.302,256.290,256.291,256.289,256.298,256.304,256.316,256.300,256.300,256.303,256.293,256.295,256.294,256.301,256.299,256.299,256.306,256.308,256.309,256.306,256.302,256.301,256.302,256.299,256.297,256.288,256.299,256.299,256.307,256.292,256.296,256.294,256.293,256.297,256.295,256.300,256.306,256.287,256.297,256.308,256.296,256.289,256.295,256.298,256.296,256.296,256.293,256.297,256.296,256.296,256.282,256.295
"Head Rotation Z {0.100}",10.165,11.769,16.848,19.979,21.727,13.882,3.421,3.317,2.157,357.632,349.014,340.009,336.813,335.429,326.491,326.587,335.531,342.043,351.438,0.912,6.857,7.284,10.160,13.402,14.508,17.872,26.065,26.785,36.544,25.897,23.340,17.984,10.200,1.103,358.047,350.481,349.635,351.900,359.893,11.613,19.611,19.153,19.034,14.382,6.286,358.698,358.957,3.306,357.509,350.067,343.015,335.883,328.835,326.374,325.398,333.410,342.927,348.843,355.641,3.780,5.546,5.422,5.551,7.334,11.307,19.033,22.624,25.403,24.456,28.893,30.220,24.066,20.117,20.387,22.294,19.676,20.215,20.190,20.909,24.718,26.463,22.849,17.782,16.858,18.266,4.413,346.285,346.432,350.323,348.842,348.410,351.532,20.548,154.260,154.593,160.856,168.377,167.669,156.970,137.941,111.714,81.740,59.945,59.403,55.508,30.325,12.569,9.961,18.451,23.348,23.023,19.056,12.825,13.349,15.268,13.043,19.047,30.442,30.708,27.296,26.907,35.815,40.999,41.656,39.966,46.384,51.629,54.285,55.930,68.358,80.350,91.025,90.858,84.091,79.074,79.074,47.107,26.687,19.869,22.063,24.257,21.087,16.458,16.388,17.454,15.608,6.612,5.274,2.908,357.132,348.196,340.280,335.629,330.889,323.678,315.791,303.187,284.035,219.023,203.478,193.706,158.075,93.458,52.757,11.399,7.549,13.007,14.339,4.049,354.767,352.439,355.972,357.735,354.863,352.634,352.260,357.083,0.787,357.161,351.313,345.929,353.115,356.120,359.284,359.073,358.994,359.151,359.094,359.089,359.097,359.092,359.107,359.102,359.108,359.113,359.116,359.131,359.133,359.128,359.137,359.130,359.141,359.142,359.141,359.134,359.142,359.130,359.135,359.134,359.143,359.148,359.149,359.127,359.137,359.149,359.147,359.155,359.153,359.154,359.135,359.133,359.147,359.140,359.146,359.154,359.155,359.153,359.154,359.159,359.159,359.153,359.165,359.160,359.156,359.162,359.158,359.169,359.181,359.171,359.168,359.176,359.174,359.171,359.171,359.172,359.169,359.180,359.178,359.173,359.182,359.201,359.180,359.184,359.186,359.180,359.161,359.172,359.175,359.174,359.161,359.178,359.180,359.180,359.188
"Player Height {0.100}",0.992,0.967,0.914,0.907,0.913,0.926,0.945,0.958,0.962,0.981,1.005,1.031,1.036,1.031,1.019,1.013,0.989,0.963,0.937,0.911,0.872,0.848,0.845,0.842,0.837,0.833,0.840,0.846,0.843,0.847,0.862,0.860,0.844,0.830,0.826,0.809,0.795,0.773,0.751,0.737,0.744,0.755,0.758,0.761,0.762,0.766,0.769,0.766,0.787,0.834,0.873,0.914,0.941,0.952,0.962,0.957,0.929,0.890,0.834,0.766,0.737,0.725,0.721,0.714,0.711,0.711,0.720,0.730,0.730,0.741,0.790,0.845,0.868,0.884,0.889,0.889,0.883,0.879,0.885,0.906,0.933,0.954,0.956,0.953,0.962,0.972,0.964,0.952,0.954,0.954,0.957,0.961,0.976,0.993,1.001,0.999,0.996,0.992,0.987,0.965,0.934,0.896,0.856,0.833,0.789,0.747,0.727,0.703,0.697,0.705,0.721,0.738,0.762,0.789,0.819,0.835,0.828,0.812,0.807,0.806,0.811,0.817,0.820,0.823,0.820,0.815,0.823,0.825,0.823,0.826,0.837,0.852,0.857,0.865,0.881,0.901,0.909,0.933,0.985,1.010,1.062,1.072,1.072,1.070,1.065,1.068,1.064,1.058,1.055,1.057,1.055,1.040,1.018,0.996,0.985,0.983,0.993,1.010,1.026,1.025,1.023,1.022,0.999,0.967,0.914,0.916,0.925,0.951,1.002,1.058,1.126,1.163,1.151,1.108,1.040,1.000,0.957,0.919,0.894,0.875,0.854,0.843,0.819,0.822,0.822,0.822,0.822,0.822,0.822,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
"Object Viewed {0.100}","Door from [27.45] to [27.69]","Cube.009 from [27.69] to [27.80]","SmokePlane (16) from [27.80] to [27.90]","SmokePlane (23) from [27.90] to [28.00]","Ceiling from [28.00] to [29.39]","Cube from [29.39] to [29.73]","SmokePlane (14) from [29.73] to [29.99]","Cube.009 from [29.99] to [30.10]","Door from [30.10] to [30.21]","SmokePlane (23) from [30.21] to [30.65]","Big Window from [30.65] to [30.76]","Cube.003 from [30.76] to [31.67]","FancyChair.003 from [31.67] to [31.78]","Cube.003 from [31.78] to [32.02]","SmokePlane (23) from [32.02] to [32.24]","SmokePlane (16) from [32.24] to [32.47]","Door from [32.47] to [32.58]","Cube.009 from [32.58] to [33.08]","Ceiling from [33.08] to [34.12]","SmokePlane (23) from [34.12] to [34.37]","Grid.001 from [34.37] to [34.48]","Grid from [34.48] to [35.52]","Cube.009 from [35.52] to [35.65]","SmokePlane (14) from [35.65] to [35.85]","Cube from [35.85] to [38.06]","Ceiling from [38.06] to [39.01]","SmokePlane (23) from [39.01] to [39.79]","Grid from [39.79] to [40.39]","Cube.006 from [40.39] to [40.52]","SmokePlane (23) from [40.52] to [40.85]","SmokePlane (16) from [40.85] to [41.07]","Plane from [41.07] to [41.20]","XR Origin from [41.20] to [43.39]","Plane from [43.39] to [43.50]","SmokePlane (16) from [43.50] to [43.63]","Cube.009 from [43.63] to [43.73]","Ceiling from [43.73] to [44.36]","Cube from [44.36] to [45.72]","Ceiling from [45.72] to [46.48]","SmokePlane (23) from [46.48] to [46.93]","Ceiling from [46.93] to [47.34]","Cube.009 from [47.34] to [47.57]","Ceiling from [47.57] to [47.79]","SmokePlane (14) from [47.79] to [47.91]","Cube.009 from [47.91] to [57.46]"
