"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
3.112,0.000,1.717,32.141,239.452,5.861,1.409,"Bathroom_Door_307 from [355.42] to [355.74]","Begining : [355.4]"
3.008,0.000,1.691,32.066,240.752,5.532,1.409,"Wall_WC_307 from [355.74] to [356.61]",
2.924,0.000,1.688,32.026,241.524,4.906,1.410,"Wall_door_307 from [356.61] to [358.68]",
2.868,0.000,1.686,32.183,242.666,5.157,1.409,"XR Origin from [358.68] to [359.49]",
2.868,0.000,1.686,32.364,243.162,4.637,1.409,"Wall_door_307 from [359.49] to [360.48]",
2.832,0.000,1.731,32.485,242.984,4.215,1.409,"Sink_307 from [360.48] to [360.59]",
2.771,0.000,1.836,32.587,242.974,3.975,1.409,"Wall_bathroom_307 from [360.59] to [361.92]",
2.710,0.000,1.947,32.775,242.437,3.587,1.409,"SmokePlane (26) from [361.92] to [362.14]",
2.700,0.000,1.966,32.915,241.702,3.357,1.408,"shower_doors_307.01 from [362.14] to [362.81]",
2.700,0.000,1.966,32.940,241.113,3.342,1.408,"Wall_bathroom_307 from [362.81] to [362.92]",
2.657,0.000,1.842,32.929,285.604,3.388,1.409,"SmokePlane (4) from [362.92] to [363.03]",
2.657,0.000,1.842,33.057,285.221,3.118,1.408,"SmokePlane (3) from [363.03] to [363.81]",
2.657,0.000,1.842,33.024,285.109,2.998,1.408,"SmokePlane (34) from [363.81] to [364.59]",
2.657,0.000,1.842,32.999,284.771,2.888,1.408,"Bathroom_Door_307 from [364.59] to [364.81]",
2.657,0.000,1.842,33.177,283.451,2.866,1.408,"Bathroom_door_frame_left from [364.81] to [364.92]",
2.657,0.000,1.842,33.582,282.201,2.580,1.407,"SmokePlane (34) from [364.92] to [365.15]",
2.657,0.000,1.842,34.267,280.369,2.539,1.406,"Wall_WC_307 from [365.15] to [365.25]",
2.628,0.000,1.882,34.761,278.738,2.487,1.405,"Wall_north_307 from [365.25] to [365.47]",
2.579,0.000,1.947,35.642,276.702,2.737,1.404,"Wall_WC_307 from [365.47] to [365.70]",
2.519,0.000,1.996,36.135,274.893,2.873,1.402,"XR Origin from [365.70] to [366.45]",
2.424,0.000,2.029,37.039,273.434,2.670,1.400,"Wall_north_307 from [366.45] to [367.01]",
2.338,0.000,2.041,37.539,272.242,2.104,1.399,"SmokePlane (34) from [367.01] to [367.23]",
2.210,0.000,2.038,38.372,270.636,2.037,1.398,"Bathroom_Door_307 from [367.23] to [367.34]",
2.107,0.000,2.026,39.915,268.134,1.711,1.395,"Bathroom_door_handle_307 from [367.34] to [367.45]",
2.006,0.000,2.008,41.229,264.454,0.812,1.393,"Bathroom_Door_307 from [367.45] to [368.01]",
1.883,0.000,1.974,42.987,257.898,358.596,1.389,"Bathroom_door_handle_307 from [368.01] to [368.44]",
1.763,0.000,1.927,44.368,251.981,357.354,1.387,"Bathroom_Door_307 from [368.44] to [369.45]",
1.713,0.000,1.902,45.702,245.355,356.049,1.385,"SmokePlane (34) from [369.45] to [370.00]",
1.713,0.000,1.902,47.751,237.051,353.402,1.381,"Bathroom_Door_307 from [370.00] to [371.98]",
1.713,0.000,1.902,48.675,228.090,350.639,1.379,"SmokePlane (34) from [371.98] to [375.15]",
1.713,0.000,1.902,48.798,223.664,349.503,1.379,"Cushion_east_307 from [375.15] to [375.55]",
1.713,0.000,1.902,48.670,220.161,348.364,1.380,"Cushion_middle_307 from [375.55] to [376.00]",
1.713,0.000,1.902,48.861,219.706,348.133,1.380,"XR Origin from [376.00] to [376.22]",
1.713,0.000,1.902,49.115,226.708,350.633,1.381,"Duvet02_307 from [376.22] to [376.66]",
1.713,0.000,1.902,47.936,246.289,0.412,1.382,"Bedside_table_307 from [376.66] to [376.77]",
1.713,0.000,1.902,44.347,266.367,7.840,1.384,"Wall_window_307 from [376.77] to [376.99]",
1.713,0.000,1.902,41.836,275.488,11.782,1.389,"Small_Window_North_307 from [376.99] to [377.10]",
1.713,0.000,1.902,39.471,283.236,12.299,1.393,"Wall_window_307 from [377.10] to [378.10]",
1.713,0.000,1.902,38.910,290.549,10.931,1.394,"SmokePlane (31) from [378.10] to [378.21]",
1.713,0.000,1.902,37.733,298.406,10.471,1.393,"SmokePlane (20) from [378.21] to [378.32]",
1.713,0.000,1.902,38.418,301.503,10.551,1.391,"SmokePlane (34) from [378.32] to [378.44]",
