"Player Position X {0.100}",4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,5.020,6.330,6.320,6.770,6.780,6.750,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.760
"Player Position Y {0.100}",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z {0.100}",3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.690,3.120,-0.370,-0.400,-1.120,-1.460,-1.620,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.710,-1.777
"Head Rotation X {0.100}",353.623,353.618,353.624,353.632,353.641,353.637,353.643,353.643,353.632,353.631,353.657,353.643,353.631,353.663,353.662,353.638,353.626,353.631,353.626,353.618,353.627,353.622,353.617,353.640,353.640,353.639,353.626,353.625,353.627,353.631,353.617,353.628,353.634,353.633,353.614,353.618,353.631,353.629,353.659,353.659,353.659,353.665,353.646,353.651,353.634,353.574,353.997,354.803,355.628,355.896,355.526,355.156,355.207,355.592,355.508,355.257,354.937,354.160,352.867,352.472,350.814,349.683,348.419,348.874,347.174,347.742,348.257,348.120,348.580,347.751,348.223,349.142,348.805,350.118,349.023,349.127,349.458,350.830,350.997,350.735,351.844,349.529,352.483,353.858,350.854,352.051,353.933,353.932,354.590,354.232,353.587,350.904,352.244,350.298,351.806,349.589,350.136,350.209,350.215,349.437,349.600,349.199,349.584,349.075,348.932,349.678,349.398,348.673,348.390,346.660,348.140,347.406,346.986,346.525,349.895,348.769,348.242,348.288,348.241,347.496,347.724,346.564,347.209,346.480,347.558,346.868,347.478,348.461,347.283,347.213,347.819,348.035,348.463,348.777,348.306,349.161,348.878,348.847,348.796,349.626,348.095,348.047,349.712,347.588,345.016,346.345,347.055,347.417,346.460,347.318,346.576,347.158,348.653,348.619,347.922,348.072,347.739,349.070,349.143,349.655,349.642,349.278
"Head Rotation Y {0.100}",255.424,255.422,255.422,255.414,255.429,255.406,255.399,255.387,255.385,255.374,255.379,255.371,255.380,255.372,255.373,255.347,255.341,255.319,255.332,255.322,255.330,255.333,255.350,255.344,255.352,255.315,255.307,255.340,255.317,255.312,255.315,255.305,255.335,255.334,255.317,255.317,255.337,255.365,255.338,255.344,255.345,255.342,255.337,255.349,255.334,255.175,259.381,262.466,266.635,274.030,275.366,274.746,277.813,281.681,287.324,289.757,293.563,295.812,296.581,298.484,296.837,295.644,298.151,300.964,301.284,304.993,307.506,305.920,309.483,311.324,311.650,312.984,311.059,312.951,311.640,312.492,309.890,309.720,307.957,306.521,308.009,305.856,306.218,308.181,306.891,305.385,306.969,307.700,308.039,305.934,302.395,300.399,302.288,299.414,300.860,300.478,303.454,304.115,303.424,301.079,300.100,297.970,302.269,300.643,300.848,299.379,298.634,296.308,295.771,293.027,292.876,293.013,290.827,289.179,296.001,298.700,303.166,301.696,304.447,302.920,303.435,302.659,304.612,303.360,303.977,306.042,304.600,306.194,306.146,305.340,303.544,304.387,308.080,311.134,309.330,309.471,307.578,306.258,304.609,305.313,304.674,302.040,301.234,300.295,296.910,299.297,302.137,305.654,305.842,308.325,309.329,311.167,310.775,312.011,311.681,312.427,311.024,312.677,313.352,315.520,316.812,313.438
"Head Rotation Z {0.100}",358.862,358.868,358.864,358.869,358.864,358.866,358.862,358.870,358.873,358.884,358.880,358.877,358.870,358.861,358.845,358.861,358.887,358.872,358.887,358.888,358.885,358.888,358.891,358.876,358.875,358.892,358.905,358.889,358.900,358.912,358.918,358.916,358.912,358.920,358.924,358.938,358.921,358.937,358.914,358.926,358.925,358.922,358.929,358.925,358.956,358.947,0.438,359.375,359.972,0.920,0.343,359.641,359.909,359.487,359.418,358.602,359.632,359.687,356.831,355.449,353.992,354.727,354.934,356.273,354.497,353.589,353.506,351.781,353.138,352.102,350.702,350.897,350.461,353.135,353.520,351.663,349.820,349.096,347.212,346.974,349.356,348.210,347.942,349.727,347.953,346.953,349.457,349.302,348.782,348.324,349.191,348.649,348.860,349.113,350.346,350.530,351.250,351.205,350.530,348.237,347.887,348.286,350.146,349.414,348.679,349.138,348.940,348.964,348.972,349.080,351.036,349.346,348.738,349.108,350.552,351.754,351.954,351.404,351.688,352.118,351.031,350.197,349.700,349.066,350.570,349.670,349.684,349.268,349.919,348.792,348.407,349.067,349.348,350.585,349.444,349.252,348.276,347.304,347.923,350.489,349.858,348.227,349.770,350.526,349.689,348.831,349.712,350.813,351.490,350.984,351.666,352.353,350.784,350.134,349.763,349.473,347.933,349.569,348.700,350.579,350.761,348.779
"Player Height {0.100}",0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.823,0.822,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.806,0.833,0.826,0.819,0.842,0.831,0.826,0.858,0.862,0.874,0.847,0.849,0.891,0.872,0.872,0.863,0.867,0.871,0.893,0.873,0.904,0.892,0.900,0.912,0.900,0.904,0.889,0.858,0.896,0.882,0.895,0.925,0.932,0.895,0.905,0.917,0.912,0.908,0.917,0.927,0.933,0.944,0.912,0.930,0.916,0.918,0.920,0.927,0.925,0.915,0.926,0.919,0.954,0.949,0.951,0.954,0.961,0.973,0.963,0.982,0.982,0.979,0.981,0.979,1.022,1.025,1.020,1.018,1.009,1.021,1.019,1.043,1.012,1.048,1.027,1.017,1.033,1.039,1.025,1.049,1.058,1.032,1.064,1.059,1.065,1.037,1.038,1.047,1.060,1.071,1.079,1.072,1.037,1.042,1.089,1.072,1.061,1.045,1.057,1.056,1.047,1.042,1.053,1.037,1.022,1.060,1.057,1.044,1.026,1.051,1.037,1.048,1.040,1.018,1.074,1.065
"Object Viewed by Player {0.100}","Cube.009 from [59.65] to [65.11]","SmokePlane (14) from [65.11] to [65.90]","Cube from [65.90] to [73.48]","Cube.004 from [73.48] to [73.75]","SmokePlane (16) from [73.75] to [73.87]","Door Left from [73.87] to [73.98]"
"Simulation Timings {0.200}","Begining : [59.7]"
