"Player Position X",4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.466,4.466,4.466,4.419,4.370,4.265,4.123,4.023,4.063,4.199,4.321,4.478,4.567,4.471,4.363,4.417,4.473,4.370,4.229,4.076,3.922,3.791,3.629,3.492,3.364,3.318,3.438,3.575,3.722,3.844,4.003,4.123,4.169,4.087,3.993,4.105,4.113,4.016,4.102,4.168,4.126,4.256,4.246,4.246,4.381,4.434,4.341,4.282,4.358,4.493,4.580,4.581,4.432,4.304,4.167,4.024,3.879,3.735,3.592,3.450,3.333,3.200,3.059,2.902,2.746,2.594,2.454,2.313,2.169,2.031,1.965,2.079,2.219,2.365,2.461,2.327,2.195,2.039,1.889,1.745,1.594,1.452,1.309,1.183,1.077,1.005,0.951,0.903,0.800,0.702,0.617,0.551,0.489,0.417,0.323,0.192,0.068,0.008,-0.026,-0.025,-0.019,-0.014,-0.015,-0.012,-0.042,-0.078,-0.090,-0.094,-0.088,-0.071,-0.059,-0.066,-0.069,-0.067,-0.064,-0.076,-0.083,-0.137,-0.224,-0.342,-0.361,-0.361,-0.361,-0.338,-0.281,-0.208,-0.144,-0.101,-0.072,-0.063,-0.068,-0.080,-0.096,-0.110,-0.118,-0.124,-0.127,-0.131,-0.137,-0.146,-0.156,-0.166,-0.169,-0.123,-0.055,0.009,0.067,0.119,0.165,0.164,0.157,0.161,0.179,0.208,0.242,0.282,0.325,0.376,0.417,0.436,0.466,0.512,0.561,0.595,0.607,0.632,0.668,0.719,0.775,0.840,0.905,1.008,1.149,1.290,1.427
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,3.967,3.967,3.967,3.763,3.821,3.898,3.973,3.938,3.882,3.929,3.984,4.019,3.953,3.834,3.907,3.965,3.852,3.756,3.737,3.720,3.706,3.695,3.684,3.677,3.716,3.845,3.889,3.860,3.784,3.736,3.743,3.847,3.972,4.053,3.960,3.904,4.019,3.969,3.926,4.025,4.019,4.011,4.101,4.009,4.036,4.166,4.235,4.152,4.040,4.034,4.164,4.202,4.213,4.178,4.140,4.116,4.122,4.156,4.199,4.180,4.103,4.038,4.014,3.999,3.974,3.921,3.877,3.837,3.799,3.763,3.757,3.791,3.813,3.826,3.829,3.791,3.758,3.738,3.755,3.787,3.767,3.728,3.745,3.820,3.927,4.055,4.178,4.305,4.420,4.516,4.626,4.747,4.890,5.020,5.112,5.175,5.247,5.387,5.533,5.665,5.813,5.947,6.106,6.236,6.388,6.525,6.669,6.814,6.963,7.104,7.247,7.391,7.537,7.676,7.807,7.960,8.116,8.251,8.367,8.575,8.630,8.630,8.630,8.691,8.800,8.925,9.065,9.208,9.355,9.500,9.643,9.779,9.913,10.045,10.184,10.325,10.462,10.602,10.747,10.896,11.040,11.186,11.327,11.450,11.562,11.675,11.793,11.912,12.040,12.171,12.310,12.443,12.577,12.719,12.858,12.997,13.126,13.246,13.372,13.505,13.635,13.762,13.888,14.040,14.193,14.346,14.469,14.601,14.720,14.838,14.906,14.932,14.925,14.903,14.897
"Head Rotation X",37.482,37.889,37.891,37.422,37.302,37.287,36.284,35.347,35.925,36.372,35.881,35.382,35.141,34.682,34.281,30.873,25.895,23.259,22.604,22.079,21.477,23.017,26.525,33.265,36.751,38.236,38.683,39.055,39.215,39.429,39.127,39.211,38.867,38.284,37.315,35.706,34.027,32.264,30.657,30.133,32.020,32.295,32.125,32.345,32.303,32.403,32.454,32.742,32.867,32.868,32.753,32.793,32.868,32.586,32.443,32.494,32.396,32.361,32.276,31.875,31.196,29.708,27.912,26.696,26.120,26.066,27.355,27.328,27.392,27.882,29.286,30.191,31.279,32.848,33.915,34.177,33.911,33.527,31.377,28.465,27.951,27.684,27.636,27.403,27.994,28.366,30.278,31.532,30.592,28.365,23.331,19.301,16.772,14.700,14.198,13.161,11.501,11.362,11.395,10.215,9.445,8.817,7.738,6.666,5.694,5.176,4.627,4.587,5.279,7.551,9.318,10.251,7.550,5.945,6.004,8.195,11.375,15.135,23.272,27.157,27.616,27.828,27.711,28.757,32.307,37.274,37.381,38.350,38.673,39.123,39.792,40.471,40.896,41.098,40.313,39.635,38.777,38.292,38.079,37.773,37.484,37.295,36.445,35.530,35.370,34.716,34.017,30.640,26.248,21.476,16.327,10.300,6.826,5.329,5.624,6.979,7.760,7.070,5.459,4.569,3.285,1.428,358.567,355.317,353.964,355.233,356.815,358.053,357.532,355.801,354.215,353.923,356.063,3.307,15.730,22.394,23.585,24.422,24.476,24.786,24.658,24.445,24.602,23.831,23.439,23.377,22.274,22.085,23.781,25.920,28.337
"Head Rotation Y",154.476,154.493,154.682,154.735,154.670,154.460,154.405,155.006,154.539,153.342,153.234,153.424,153.714,153.648,155.331,169.933,241.312,253.228,255.164,301.402,299.478,293.668,285.626,275.473,268.898,264.080,261.993,259.678,257.596,255.379,254.522,254.256,253.508,252.965,253.110,253.919,254.685,255.257,256.211,256.943,256.752,256.330,255.917,254.839,253.596,253.053,252.262,251.225,250.560,249.939,249.207,248.561,248.242,248.175,248.006,247.578,247.171,246.556,245.386,243.078,237.641,230.175,221.244,214.881,209.969,206.821,207.208,208.158,208.333,208.790,211.017,220.145,233.145,243.615,249.473,251.133,250.857,250.890,251.812,253.812,252.018,252.971,253.884,254.604,254.837,254.562,255.163,257.582,259.671,261.104,262.484,265.129,267.489,273.712,280.259,287.415,294.672,300.062,308.714,318.422,327.547,334.043,338.085,341.238,344.711,348.073,350.838,351.480,351.253,351.269,352.339,355.868,1.954,6.244,9.549,12.149,14.637,16.282,18.831,20.677,20.498,20.431,20.993,21.802,24.038,23.818,25.497,26.674,27.876,29.573,31.268,32.723,34.460,37.858,44.288,49.333,52.723,52.309,52.706,52.751,51.458,48.409,39.171,30.272,21.702,14.234,9.774,7.408,6.189,5.376,5.377,6.435,6.673,4.900,4.063,3.980,3.807,2.776,1.560,359.719,357.484,355.187,353.365,352.908,353.726,358.595,2.755,6.103,9.420,12.008,14.567,15.850,16.714,17.792,18.969,20.907,23.906,25.607,26.862,27.851,28.379,28.468,29.310,30.916,33.728,37.415,44.707,52.920,57.923,60.582,60.168
"Head Rotation Z",357.462,357.490,357.536,357.727,357.706,357.738,357.981,358.391,358.392,357.953,357.774,357.927,357.916,357.640,357.944,1.330,6.469,7.281,6.549,5.997,5.355,4.268,3.399,1.915,0.514,0.292,0.139,359.845,359.501,359.329,358.803,359.612,359.570,359.682,359.955,0.094,0.377,0.685,0.679,0.409,0.299,359.893,359.793,359.973,359.694,359.725,359.917,359.841,359.725,359.611,359.542,359.391,359.305,359.399,359.613,359.395,359.492,359.416,359.059,359.116,358.018,358.596,358.542,358.469,358.210,358.473,358.946,359.538,359.325,359.083,359.139,1.017,3.570,4.053,3.806,3.006,2.939,3.264,3.110,3.619,2.207,2.301,2.330,2.143,1.264,0.615,1.125,0.941,1.936,3.553,4.373,4.814,5.412,6.122,7.824,9.515,11.734,12.492,13.524,14.728,15.237,14.940,13.749,12.669,10.941,9.082,6.829,5.177,3.765,2.340,2.355,1.543,1.400,1.223,1.497,0.897,1.604,3.279,4.553,5.942,5.900,6.056,6.074,6.371,6.814,3.217,4.154,4.701,4.568,5.534,6.439,6.772,7.248,8.025,9.583,10.823,10.365,9.723,9.811,9.778,9.396,8.824,6.287,4.364,2.782,1.629,0.855,0.956,1.902,2.652,2.760,2.347,1.353,0.941,1.140,0.583,0.334,359.936,0.474,0.760,0.694,0.625,0.057,359.606,359.984,359.528,359.690,0.145,1.024,1.369,1.658,2.801,3.189,2.554,2.260,1.564,2.417,3.076,3.778,3.977,4.353,4.322,4.046,3.857,4.243,4.771,5.071,5.976,5.579,5.810,5.616
"Player Height",1.516,1.515,1.515,1.516,1.516,1.516,1.518,1.521,1.520,1.518,1.519,1.520,1.520,1.521,1.523,1.531,1.541,1.547,1.549,1.550,1.551,1.548,1.540,1.525,1.517,1.513,1.511,1.510,1.510,1.510,1.511,1.511,1.511,1.513,1.515,1.519,1.523,1.527,1.531,1.532,1.528,1.527,1.527,1.527,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.527,1.527,1.527,1.528,1.528,1.528,1.529,1.530,1.533,1.537,1.539,1.540,1.540,1.538,1.537,1.537,1.535,1.532,1.531,1.529,1.525,1.523,1.521,1.522,1.522,1.527,1.534,1.535,1.535,1.535,1.536,1.537,1.535,1.528,1.526,1.531,1.538,1.549,1.558,1.563,1.567,1.567,1.566,1.566,1.564,1.561,1.563,1.564,1.565,1.569,1.573,1.576,1.580,1.579,1.579,1.580,1.576,1.578,1.578,1.585,1.587,1.586,1.581,1.576,1.568,1.546,1.535,1.533,1.531,1.531,1.529,1.519,1.511,1.511,1.509,1.508,1.508,1.506,1.504,1.502,1.500,1.501,1.502,1.504,1.505,1.506,1.506,1.507,1.507,1.510,1.513,1.513,1.514,1.516,1.522,1.529,1.540,1.555,1.568,1.576,1.582,1.582,1.582,1.582,1.584,1.590,1.590,1.592,1.595,1.600,1.604,1.606,1.605,1.601,1.599,1.599,1.602,1.605,1.605,1.602,1.589,1.567,1.554,1.550,1.548,1.547,1.546,1.547,1.548,1.547,1.549,1.550,1.549,1.551,1.550,1.545,1.539,1.533
