"Player Position X",5.452,5.457,5.408,5.306,5.204,5.188,5.325,5.358,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.255,5.217,5.090,4.959,4.796,4.635,4.479,4.318,4.185,4.041,3.911,3.773,3.634,3.506,3.379,3.253,3.127,2.993,2.861,2.720,2.589,2.461,2.338,2.210,2.138,2.138,2.138,2.215,2.362,2.497,2.583,2.583,2.558,2.461,2.351,2.242,2.132,2.022,1.903,1.790,1.679,1.539,1.449,1.338,1.217,1.088,0.920,0.802,0.722,0.659,0.586,0.521,0.428,0.366,0.319,0.295,0.272,0.241,0.192,0.161,0.156,0.175,0.204,0.176,0.135,0.064,0.003,-0.016,-0.020,-0.027,-0.057,-0.053,0.043,0.138,0.192,0.228,0.279,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.335,0.338,0.335,0.329,0.322,0.315,0.308,0.298,0.289,0.280,0.270,0.260,0.252,0.243,0.234,0.224,0.215,0.217,0.228,0.245,0.266,0.286,0.298,0.310,0.322,0.337,0.353,0.366,0.376,0.390,0.404,0.418,0.428,0.439,0.454,0.466,0.476,0.485,0.491,0.497,0.502,0.505,0.506,0.508,0.511,0.515,0.519,0.522,0.525,0.528,0.532,0.536,0.539,0.543,0.546,0.550,0.554,0.558,0.562,0.567,0.572,0.576,0.565,0.529,0.482,0.424,0.366,0.315,0.271,0.234,0.208,0.188,0.172,0.161,0.152,0.144,0.137,0.132,0.123,0.102,0.085,0.078,0.085,0.100,0.118,0.136,0.151,0.159,0.163,0.167,0.170,0.179,0.192,0.205,0.217,0.234,0.252,0.279,0.314,0.350,0.388,0.417,0.436,0.451,0.467,0.485,0.502,0.519,0.536,0.551,0.566,0.577,0.587,0.597,0.607,0.616,0.623,0.629,0.635,0.636,0.629,0.603,0.563,0.518,0.466,0.428,0.410,0.404,0.442,0.495,0.554,0.610,0.661,0.708,0.749,0.792,0.842,0.898,0.957,1.014,1.044,1.064,1.087,1.115,1.154,1.190,1.244,1.304,1.365,1.414,1.467,1.505,1.516,1.504,1.517,1.566
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",3.974,4.062,4.168,4.224,4.152,4.014,4.014,4.122,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.153,4.158,4.163,4.160,4.153,4.145,4.136,4.127,4.119,4.110,4.101,4.093,4.086,4.087,4.090,4.093,4.092,4.086,4.071,4.049,4.024,3.997,3.967,3.935,3.916,3.916,3.916,3.919,3.916,3.912,3.907,3.907,3.919,3.949,3.982,4.019,4.064,4.076,4.055,4.010,3.975,4.022,4.109,4.215,4.265,4.306,4.285,4.335,4.440,4.551,4.689,4.804,4.934,5.049,5.185,5.311,5.446,5.589,5.741,5.885,6.023,6.166,6.296,6.452,6.578,6.721,6.859,7.006,7.142,7.287,7.438,7.569,7.700,7.798,7.929,8.060,8.211,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.303,8.298,8.328,8.375,8.431,8.490,8.547,8.606,8.666,8.725,8.784,8.841,8.899,8.950,9.009,9.069,9.132,9.191,9.250,9.306,9.360,9.416,9.478,9.536,9.596,9.646,9.703,9.760,9.819,9.868,9.928,9.986,10.048,10.100,10.153,10.213,10.262,10.320,10.378,10.439,10.498,10.559,10.621,10.675,10.732,10.791,10.850,10.911,10.966,11.017,11.072,11.127,11.177,11.230,11.284,11.336,11.397,11.451,11.502,11.553,11.606,11.661,11.716,11.766,11.813,11.840,11.853,11.873,11.905,11.947,11.996,12.050,12.108,12.165,12.224,12.276,12.336,12.396,12.449,12.509,12.565,12.623,12.683,12.744,12.794,12.846,12.899,12.951,13.002,13.056,13.107,13.158,13.208,13.259,13.308,13.358,13.407,13.455,13.501,13.539,13.575,13.609,13.652,13.699,13.749,13.797,13.850,13.899,13.951,14.000,14.052,14.113,14.163,14.214,14.265,14.318,14.374,14.429,14.480,14.542,14.595,14.644,14.699,14.737,14.767,14.800,14.842,14.894,14.945,14.983,15.010,15.003,14.982,14.983,15.009,15.045,15.090,15.122,15.144,15.159,15.174,15.188,15.186,15.177,15.169,15.137,15.102,15.078,15.079,15.091,15.097,15.094,15.084,15.056,15.039,15.023,15.000
"Head Rotation X",25.207,30.576,33.463,34.906,36.524,37.574,38.317,38.334,37.868,37.088,37.246,38.093,38.278,36.079,34.231,34.286,34.742,32.492,20.548,11.578,9.677,10.977,12.800,9.709,6.376,5.247,7.455,10.611,15.552,19.828,23.989,27.334,31.132,33.761,34.235,33.457,32.794,31.929,32.088,32.456,32.845,33.713,34.499,35.003,35.094,35.517,35.571,35.238,34.321,32.376,29.383,25.727,23.852,21.841,20.382,18.334,15.281,14.090,15.199,17.437,15.963,10.971,11.132,11.201,10.393,9.644,9.445,10.239,10.896,11.867,13.239,14.551,15.540,17.131,18.609,19.381,19.895,18.295,16.193,14.603,12.208,11.628,11.623,11.521,11.190,11.538,13.445,15.689,18.067,19.607,18.981,17.901,18.124,19.671,20.628,22.934,25.616,29.761,35.121,36.741,38.262,38.767,39.678,39.738,39.874,39.556,39.011,38.379,37.978,37.530,36.519,35.142,33.841,31.705,28.446,24.972,23.307,23.229,23.803,24.514,25.343,25.629,24.398,23.630,24.217,25.132,26.213,26.609,26.105,24.997,24.148,23.676,23.756,23.680,22.733,21.007,19.791,18.077,16.325,16.291,18.145,19.591,20.833,20.986,18.658,16.730,15.928,14.101,10.831,8.569,7.762,6.562,5.937,5.058,4.637,4.338,3.945,3.075,1.616,0.892,0.565,0.517,0.391,0.340,0.474,0.556,0.453,0.264,359.915,359.757,359.569,359.706,359.778,359.881,0.034,0.169,0.296,0.443,0.497,0.741,0.898,0.759,0.503,0.314,0.197,1.550,3.610,1.197,356.761,355.633,354.431,354.847,355.128,355.706,356.030,356.336,355.667,355.102,354.776,354.878,354.889,355.002,355.733,357.318,5.668,10.927,9.588,8.422,9.259,10.017,11.565,16.523,20.005,24.308,26.416,28.896,30.773,32.687,34.102,36.748,38.123,38.394,38.491,37.473,37.521,36.947,37.414,37.960,39.461,40.250,40.668,40.393,40.424,40.459,40.392,40.137,39.983,39.960,40.339,40.800,41.328,41.759,41.842,42.381,43.725,43.883,42.301,40.616,40.649,41.086,41.436,42.106,43.011,44.244,43.058,39.780,39.889,40.971,44.215,47.170,48.205,49.249,50.679,52.707,52.317,50.359,46.253,44.394,46.427,47.831,48.018,46.163,44.582,42.675,41.169,39.705,38.647,39.752,40.514,41.313
"Head Rotation Y",260.434,260.108,259.835,258.860,256.895,255.101,252.665,250.452,248.668,246.175,244.738,243.876,243.097,243.848,243.672,241.508,241.773,247.445,258.754,265.578,266.610,265.869,265.051,265.061,265.214,264.907,264.701,264.510,264.264,264.329,264.519,264.426,265.006,265.956,265.981,264.918,263.625,261.897,260.576,258.616,257.156,255.397,254.175,253.485,253.334,253.066,253.020,253.200,253.520,254.154,255.764,259.711,263.436,266.775,269.129,272.216,277.081,280.848,282.018,280.563,290.324,318.102,326.831,333.889,338.088,339.559,341.568,343.247,344.022,345.325,347.872,350.552,354.021,355.801,357.750,359.000,0.691,5.083,11.657,20.304,29.770,37.870,44.094,49.611,56.050,62.213,68.547,74.508,80.637,86.153,94.255,101.376,107.611,112.482,117.907,121.880,128.086,131.547,124.012,115.121,105.540,107.053,110.124,111.418,112.282,113.598,115.700,119.652,122.178,124.725,130.995,137.107,141.508,146.095,148.171,149.469,149.776,149.855,149.991,150.015,150.013,149.614,149.422,149.235,148.979,149.051,149.659,150.081,150.221,150.366,150.886,151.349,151.493,152.015,152.577,153.548,154.129,154.669,155.284,155.463,154.728,154.004,153.565,153.701,155.206,155.875,156.390,156.992,158.305,159.881,160.634,161.308,162.111,163.615,164.424,164.933,165.241,166.415,168.619,169.557,170.056,169.868,169.961,169.924,169.966,170.064,170.164,170.230,170.230,170.306,170.405,170.139,169.845,169.532,169.457,169.208,169.200,169.140,169.105,169.050,169.148,169.266,169.600,169.675,169.562,164.361,140.744,91.581,46.933,26.853,20.208,12.922,10.906,10.333,10.887,12.490,16.014,18.312,19.247,20.562,21.963,23.339,25.754,33.126,63.186,114.293,140.539,153.604,154.475,154.847,154.606,152.696,151.470,150.038,148.590,146.809,145.192,144.140,142.288,139.473,137.375,136.857,137.577,140.825,145.460,151.091,159.860,164.406,166.028,167.040,167.135,166.560,165.748,163.929,161.387,160.160,159.509,159.089,158.553,156.681,154.859,153.358,151.076,148.474,137.045,111.620,97.135,90.006,89.676,89.073,88.457,91.291,97.730,108.442,135.728,159.981,161.858,160.613,155.399,152.482,156.793,159.876,161.351,154.615,154.942,164.872,179.500,185.391,182.601,181.049,182.406,186.839,194.641,202.349,215.034,226.697,236.158,244.252,248.141,250.804
"Head Rotation Z",0.046,359.419,359.224,359.084,358.459,358.313,358.044,357.516,357.475,357.179,357.390,357.443,357.332,357.939,358.429,357.625,357.947,0.115,4.064,3.478,2.340,1.907,0.592,359.895,359.640,359.495,359.016,358.553,357.846,357.228,356.864,356.702,356.363,356.550,356.797,356.569,356.302,356.304,356.557,356.596,356.687,356.975,357.138,357.201,357.554,357.446,357.739,358.025,358.487,359.311,0.307,2.072,2.912,3.493,3.980,4.997,6.441,7.582,8.215,7.349,9.967,16.322,17.917,18.460,19.166,18.512,17.215,16.392,15.979,14.635,12.875,11.263,9.565,9.023,8.541,8.172,7.362,6.089,5.806,6.992,8.510,10.191,12.021,13.113,14.570,15.154,13.643,12.732,11.578,10.995,11.398,11.452,11.317,10.905,10.872,10.776,10.079,9.190,5.633,0.553,352.982,354.223,356.120,357.550,357.917,359.115,359.932,1.469,1.854,2.416,4.336,6.322,7.328,7.736,7.388,7.065,6.291,6.021,5.915,6.010,6.397,6.310,6.482,6.880,7.484,8.023,8.698,9.170,9.245,8.895,8.794,9.157,8.851,8.872,8.881,9.166,9.618,10.145,10.697,11.411,12.261,12.890,13.667,14.321,15.577,15.807,15.879,15.929,16.021,16.406,16.362,15.978,15.649,15.154,14.798,14.294,13.980,13.129,12.423,12.276,11.964,11.771,11.660,11.505,11.251,11.023,11.043,11.003,10.929,10.767,10.760,10.775,10.684,10.648,10.560,10.642,10.501,10.381,10.302,10.420,10.469,10.470,10.444,10.352,10.505,10.396,7.294,0.358,0.128,4.711,4.770,4.905,4.962,4.729,4.517,4.632,5.192,5.074,4.892,4.598,4.842,4.798,4.416,4.182,0.313,7.800,10.624,13.578,13.052,12.859,13.154,13.404,12.841,13.344,12.937,12.511,12.779,12.904,12.989,12.252,10.976,10.160,9.261,8.964,9.809,11.137,13.784,15.279,16.026,16.934,17.130,16.397,16.458,15.809,14.531,14.141,13.644,13.383,13.540,13.134,12.750,12.757,12.389,11.755,6.688,354.569,348.156,347.320,348.308,348.572,348.456,349.912,352.585,356.938,11.219,20.792,19.976,16.917,13.310,9.723,12.235,12.693,12.629,8.494,8.160,13.152,19.322,19.468,15.934,14.106,13.719,13.095,13.341,12.773,12.472,11.701,10.144,9.602,8.442,7.043
"Player Height",1.609,1.597,1.591,1.588,1.585,1.583,1.581,1.581,1.582,1.583,1.583,1.581,1.580,1.585,1.589,1.588,1.587,1.592,1.615,1.633,1.638,1.635,1.633,1.639,1.645,1.647,1.643,1.637,1.628,1.620,1.612,1.605,1.598,1.592,1.591,1.592,1.593,1.594,1.594,1.594,1.593,1.592,1.590,1.590,1.590,1.589,1.589,1.590,1.593,1.597,1.603,1.610,1.614,1.617,1.619,1.622,1.626,1.628,1.625,1.621,1.621,1.622,1.619,1.617,1.617,1.619,1.621,1.621,1.621,1.621,1.616,1.616,1.613,1.612,1.616,1.616,1.617,1.621,1.623,1.628,1.632,1.631,1.627,1.623,1.620,1.618,1.613,1.609,1.606,1.604,1.606,1.609,1.608,1.608,1.606,1.605,1.605,1.598,1.590,1.588,1.584,1.582,1.579,1.578,1.577,1.577,1.578,1.579,1.580,1.581,1.583,1.586,1.588,1.593,1.600,1.606,1.610,1.610,1.609,1.607,1.605,1.605,1.607,1.608,1.607,1.605,1.603,1.602,1.603,1.606,1.607,1.608,1.608,1.608,1.610,1.613,1.615,1.619,1.622,1.622,1.619,1.616,1.613,1.613,1.616,1.619,1.620,1.623,1.629,1.633,1.633,1.635,1.635,1.636,1.637,1.638,1.639,1.640,1.642,1.642,1.642,1.642,1.643,1.643,1.644,1.644,1.644,1.645,1.645,1.645,1.646,1.646,1.645,1.645,1.645,1.645,1.645,1.644,1.645,1.644,1.644,1.644,1.645,1.645,1.645,1.643,1.641,1.645,1.652,1.654,1.655,1.655,1.655,1.653,1.652,1.652,1.652,1.653,1.653,1.653,1.653,1.653,1.652,1.650,1.635,1.621,1.623,1.623,1.622,1.621,1.619,1.611,1.606,1.600,1.597,1.593,1.592,1.591,1.587,1.582,1.580,1.577,1.574,1.573,1.574,1.572,1.572,1.570,1.567,1.564,1.564,1.564,1.565,1.565,1.566,1.567,1.567,1.567,1.566,1.566,1.565,1.564,1.564,1.563,1.562,1.562,1.565,1.568,1.568,1.568,1.567,1.565,1.564,1.562,1.562,1.564,1.566,1.563,1.557,1.550,1.546,1.544,1.540,1.535,1.536,1.538,1.545,1.545,1.541,1.540,1.544,1.549,1.552,1.556,1.560,1.563,1.563,1.562,1.561,1.561
