"Player Position X";"Player Position Y";"Player Position Z";"Head Rotation X";"Head Rotation Y";"Head Rotation Z";"Player Height";"Object Viewed"
5.830;0.000;3.733;342.863;165.543;359.591;1.101;
5.830;0.000;3.733;348.785;173.621;0.096;1.086;
5.830;0.000;3.733;352.461;189.758;357.775;1.076;
5.830;0.000;3.733;353.357;209.755;350.117;1.087;
5.830;0.000;3.733;356.599;213.084;345.702;1.094;
5.830;0.000;3.733;7.086;217.664;337.044;1.110;
5.830;0.000;3.733;18.677;214.326;332.667;1.120;
5.830;0.000;3.733;22.737;211.819;331.882;1.124;
5.830;0.000;3.733;23.529;219.463;332.293;1.129;
5.830;0.000;3.733;24.197;235.356;336.717;1.120;
5.830;0.000;3.733;23.040;251.023;341.493;1.100;
5.830;0.000;3.733;22.679;263.945;343.571;1.064;
5.830;0.000;3.733;20.316;270.170;348.721;1.006;
5.830;0.000;3.733;17.614;272.777;353.490;0.965;
5.830;0.000;3.733;15.530;273.106;357.080;0.930;
5.830;0.000;3.733;10.027;274.274;358.901;0.896;
5.830;0.000;3.733;7.412;275.371;1.743;0.870;
5.830;0.000;3.733;4.131;274.785;4.871;0.852;
5.830;0.000;3.733;0.701;274.738;6.289;0.836;
5.830;0.000;3.733;358.483;274.604;4.925;0.828;
5.830;0.000;3.733;356.585;274.635;2.168;0.827;
5.830;0.000;3.733;356.398;275.269;3.284;0.827;
5.830;0.000;3.733;356.808;275.555;358.316;0.824;
5.830;0.000;3.733;356.874;274.941;359.170;0.824;
5.830;0.000;3.733;356.844;274.640;359.057;0.824;
5.830;0.000;3.733;356.853;275.029;358.943;0.824;
5.830;0.000;3.733;356.743;275.325;358.901;0.824;
5.830;0.000;3.733;356.855;275.078;358.944;0.824;
5.830;0.000;3.733;356.863;275.085;358.942;0.824;
5.830;0.000;3.733;356.840;275.073;358.934;0.824;
5.830;0.000;3.733;356.860;275.074;358.947;0.824;
5.830;0.000;3.733;356.883;275.096;358.942;0.824;
5.830;0.000;3.733;356.891;275.094;358.962;0.824;
5.830;0.000;3.733;356.886;275.079;358.952;0.824;
5.830;0.000;3.733;356.891;275.081;358.955;0.824;
5.830;0.000;3.733;356.888;275.073;358.949;0.823;
5.830;0.000;3.733;356.892;275.079;358.955;0.823;
5.830;0.000;3.733;356.873;275.091;358.942;0.823;
5.830;0.000;3.733;356.887;275.085;358.931;0.823;
5.830;0.000;3.733;356.886;275.067;358.942;0.823;
5.830;0.000;3.733;356.910;275.079;358.948;0.824;
5.830;0.000;3.733;356.896;275.061;358.957;0.823;
5.830;0.000;3.733;356.902;275.048;358.960;0.823;
5.830;0.000;3.733;356.904;275.059;358.967;0.823;
5.830;0.000;3.733;356.923;275.059;358.966;0.823;
5.830;0.000;3.733;356.923;275.040;358.968;0.823;
5.830;0.000;3.733;356.896;275.052;358.973;0.823;
5.830;0.000;3.733;356.913;275.047;358.971;0.823;
5.830;0.000;3.733;356.922;275.044;358.969;0.823;
5.830;0.000;3.733;356.912;275.050;358.973;0.823;
5.830;0.000;3.733;356.929;275.054;358.971;0.823;
5.830;0.000;3.733;356.922;275.054;358.974;0.823;
5.870;0.000;3.470;356.929;275.065;358.966;0.823;
5.690;0.000;0.440;356.927;275.076;358.981;0.823;
5.680;0.000;0.240;356.937;275.058;358.979;0.823;
5.680;0.000;0.140;356.934;275.057;358.983;0.823;
5.680;0.000;0.140;356.918;275.060;358.980;0.823;
5.680;0.000;0.140;356.923;275.053;358.984;0.823;
5.680;0.000;0.140;356.921;275.046;358.991;0.823;
5.680;0.000;0.140;356.930;275.052;358.985;0.823;
5.680;0.000;0.140;356.927;275.042;358.983;0.823;
5.680;0.000;0.140;356.929;275.041;358.983;0.823;
5.680;0.000;0.140;356.932;275.041;358.978;0.823;
5.680;0.000;0.140;356.936;275.043;358.983;0.823;
5.680;0.000;0.140;356.944;275.037;358.985;0.823;
5.680;0.000;0.140;356.943;275.046;358.977;0.823;
5.680;0.000;0.140;356.936;275.045;358.975;0.823;
5.680;0.000;0.140;356.940;275.047;358.985;0.823;
5.680;0.000;0.140;356.933;275.052;358.979;0.823;
5.680;0.000;0.140;356.935;275.052;358.984;0.823;
5.680;0.000;0.140;356.933;275.046;358.982;0.823;
5.680;0.000;0.140;356.943;275.047;358.985;0.823;
5.680;0.000;0.140;356.943;275.051;358.977;0.823;
5.680;0.000;0.140;356.941;275.045;358.982;0.823;
5.680;0.000;0.140;356.945;275.051;358.976;0.823;
5.680;0.000;0.140;356.946;275.053;358.992;0.823;
5.700;0.000;0.120;356.945;275.056;358.982;0.823;
5.930;0.000;-0.110;356.936;275.052;358.978;0.823;
6.120;0.000;-0.300;356.938;275.045;358.982;0.823;
6.280;0.000;-0.510;356.958;275.043;358.964;0.823;
6.390;0.000;-0.720;356.943;275.049;358.973;0.823;
6.500;0.000;-1.050;356.942;275.047;358.973;0.823;
