"Player Position X",4.661,4.536,4.538,4.629,4.629,4.629,4.629,4.629,4.629,4.629,4.629,4.629,4.629,4.629,4.636,4.667,4.609,4.473,4.361,4.309,4.203,4.050,3.907,3.760,3.640,3.496,3.352,3.218,3.091,2.952,2.800,2.647,2.484,2.322,2.161,1.999,1.845,1.733,1.796,1.928,2.063,2.176,2.090,1.921,1.786,1.634,1.485,1.333,1.180,1.019,0.858,0.726,0.646,0.613,0.560,0.476,0.386,0.334,0.291,0.227,0.126,0.022,-0.038,-0.081,-0.104,-0.047,-0.020,-0.095,-0.204,-0.284,-0.284,-0.284,-0.284,-0.284,-0.284,-0.237,-0.150,-0.049,0.042,0.090,0.126,0.150,0.167,0.173,0.179,0.223,0.301,0.364,0.383,0.441,0.535,0.661,0.803,0.947,1.068,1.188,1.323,1.452,1.600,1.744,1.884,2.018,2.174,2.312,2.464,2.601,2.754,2.919,3.071,3.209,3.348,3.481,3.631,3.779,3.919,4.065,4.217,4.363,4.518,4.654,4.784,4.919,5.047,5.165,5.275,5.387,5.492,5.588,5.687,5.796,5.890,5.970,6.017,6.043,6.065,6.069,6.001,5.938,5.948
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",4.252,4.322,4.411,4.453,4.453,4.453,4.453,4.453,4.453,4.453,4.453,4.453,4.453,4.453,4.446,4.476,4.563,4.608,4.530,4.385,4.298,4.326,4.396,4.430,4.415,4.489,4.535,4.490,4.416,4.398,4.395,4.385,4.383,4.383,4.377,4.365,4.333,4.226,4.190,4.182,4.174,4.146,4.098,4.087,4.120,4.175,4.235,4.292,4.325,4.313,4.281,4.205,4.093,4.028,3.963,3.860,3.744,3.602,3.467,3.400,3.329,3.221,3.083,2.927,2.794,2.644,2.509,2.429,2.334,2.175,2.175,2.175,2.175,2.175,2.175,2.133,2.016,1.893,1.753,1.600,1.445,1.288,1.124,0.979,0.840,0.693,0.556,0.414,0.261,0.122,0.011,-0.039,-0.022,0.052,0.127,0.199,0.244,0.257,0.254,0.245,0.266,0.304,0.357,0.376,0.363,0.346,0.334,0.360,0.371,0.354,0.343,0.368,0.390,0.391,0.383,0.376,0.403,0.432,0.435,0.422,0.430,0.435,0.380,0.308,0.223,0.115,0.006,-0.084,-0.170,-0.268,-0.348,-0.349,-0.350,-0.354,-0.361,-0.416,-0.530,-0.639,-0.774
"Head Rotation X",40.519,40.709,40.891,40.864,40.452,38.414,25.804,3.612,344.687,340.621,343.715,348.384,351.225,353.261,353.257,351.356,349.228,349.352,351.221,350.439,350.826,351.671,351.891,353.398,354.302,354.261,354.399,355.332,0.678,9.561,17.199,20.970,23.454,26.273,28.631,30.057,31.676,32.464,32.846,32.360,31.168,27.862,23.372,19.467,17.297,17.898,18.216,19.587,19.600,12.247,0.676,357.777,358.980,359.326,357.967,355.689,354.811,357.046,358.912,0.905,1.849,1.195,359.522,359.621,359.946,0.173,0.241,357.894,356.752,355.467,355.371,355.613,355.774,356.587,356.229,356.728,356.603,356.024,355.331,355.059,354.090,353.324,351.605,350.686,350.421,351.351,353.566,357.265,357.850,357.679,357.964,357.672,356.764,355.880,355.572,356.068,359.042,4.008,9.189,14.908,14.954,16.402,18.556,18.228,17.044,16.965,15.792,12.677,7.240,5.328,4.988,2.480,358.268,357.905,359.196,0.651,1.569,2.410,3.371,4.462,5.874,7.316,8.442,9.086,11.654,12.790,12.436,12.049,12.152,12.303,13.164,14.927,18.442,22.218,24.957,26.028,27.135,29.464,30.687
"Head Rotation Y",186.636,186.588,186.381,186.127,186.356,189.237,200.359,205.684,203.033,198.491,203.837,228.413,249.043,257.213,257.209,255.864,249.530,241.212,225.651,208.526,204.867,208.543,205.222,194.187,164.496,142.147,127.756,127.863,141.044,175.904,210.314,232.332,240.955,245.021,247.142,248.686,250.179,249.585,248.919,248.427,248.826,250.365,254.053,258.161,261.271,264.242,266.086,263.140,251.042,229.012,208.440,201.126,198.096,191.415,187.865,185.065,183.213,181.816,180.730,178.759,175.470,170.360,163.941,159.359,157.186,155.572,147.632,110.239,70.446,42.743,25.489,16.396,11.895,10.637,10.874,14.175,18.360,18.230,14.154,12.340,11.049,10.583,10.630,11.029,11.010,13.726,22.528,48.814,82.460,97.591,101.381,100.595,96.719,91.827,88.630,89.120,93.200,98.151,102.892,105.963,107.248,108.126,109.451,110.530,112.338,114.134,115.177,114.653,114.032,114.386,114.884,115.126,115.475,116.629,117.758,118.498,119.223,120.107,121.861,124.546,126.954,129.404,132.619,136.047,140.550,144.810,147.000,148.048,148.661,150.649,151.966,152.840,154.713,157.274,159.032,159.548,160.001,160.450,160.230
"Head Rotation Z",0.764,0.564,0.425,0.480,0.649,1.860,6.350,6.693,3.702,3.080,2.220,0.413,1.037,1.723,1.359,0.402,0.044,0.462,0.523,357.064,357.726,358.149,358.216,358.295,357.075,356.766,357.465,357.776,355.807,355.738,0.329,2.986,3.358,4.003,3.194,2.484,2.364,1.912,1.578,1.760,1.779,2.390,4.224,4.656,5.309,5.396,5.217,4.490,359.583,350.894,346.648,348.553,350.578,352.871,353.640,354.691,355.250,355.415,355.360,355.901,355.850,355.351,354.530,353.808,353.597,353.212,354.530,358.599,2.880,6.055,6.021,7.100,5.767,5.555,5.278,4.279,4.140,4.225,4.634,4.965,5.264,5.430,5.865,5.760,4.963,3.738,1.364,357.533,358.410,359.076,359.176,358.442,358.780,358.293,358.276,359.091,359.242,359.567,359.932,359.801,359.148,359.289,359.104,359.471,0.213,0.242,1.106,2.025,3.756,4.714,4.772,5.204,5.674,5.553,5.719,5.809,5.752,5.777,5.734,5.632,5.705,5.577,5.690,5.866,6.090,6.788,7.068,6.529,6.700,6.720,6.388,6.580,5.279,4.776,3.339,3.295,2.565,2.204,2.362
"Player Height",1.574,1.574,1.573,1.574,1.575,1.579,1.602,1.645,1.679,1.685,1.680,1.671,1.664,1.660,1.661,1.666,1.671,1.671,1.669,1.670,1.670,1.669,1.668,1.666,1.664,1.663,1.661,1.660,1.653,1.636,1.621,1.613,1.606,1.598,1.592,1.587,1.583,1.581,1.581,1.582,1.585,1.592,1.601,1.608,1.613,1.611,1.610,1.608,1.610,1.623,1.644,1.649,1.648,1.649,1.652,1.657,1.659,1.655,1.652,1.649,1.648,1.649,1.652,1.648,1.646,1.646,1.650,1.654,1.654,1.651,1.657,1.659,1.663,1.662,1.662,1.662,1.662,1.663,1.665,1.665,1.666,1.668,1.670,1.672,1.672,1.671,1.668,1.663,1.662,1.661,1.661,1.661,1.662,1.664,1.664,1.663,1.657,1.648,1.639,1.629,1.629,1.625,1.621,1.621,1.624,1.624,1.626,1.631,1.640,1.642,1.643,1.646,1.651,1.650,1.647,1.644,1.642,1.640,1.638,1.636,1.634,1.632,1.631,1.630,1.625,1.622,1.623,1.624,1.623,1.622,1.620,1.617,1.610,1.604,1.599,1.598,1.597,1.597,1.595
