"Player Position X",-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.208,-0.283,-0.237,-0.165,-0.281,-0.177,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.069,-0.069,-0.069,-0.069,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,0.037,0.151,0.305,0.463,0.607,0.755,0.906,1.046,1.145,1.211,1.369,1.524
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",16.513,16.513,16.513,16.513,16.513,16.513,16.513,16.513,16.513,16.513,16.453,16.325,16.171,16.143,16.084,15.964,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.971,15.971,15.971,15.971,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.934,15.935,15.933,15.933,15.940,15.961,15.987,16.008,15.993,15.936,15.915,15.906
"Head Rotation X",325.500,325.672,325.887,325.993,325.980,325.320,324.637,323.914,323.606,323.591,323.420,323.023,322.643,322.278,321.906,321.758,321.556,321.672,321.759,321.987,322.123,322.201,322.650,324.949,325.632,325.629,325.107,325.140,325.090,324.997,324.861,324.795,324.612,324.693,324.990,324.921,325.601,324.581,325.904,327.300,329.476,329.591,328.895,328.328,328.064,328.142,328.167,328.044,328.140,328.093,327.851,327.626,327.543,327.413,327.341
"Head Rotation Y",339.218,339.662,340.342,340.796,340.885,340.479,339.556,336.426,335.463,335.081,334.617,334.178,334.032,333.920,333.505,333.609,333.682,333.875,333.867,333.864,333.886,333.843,334.016,338.864,26.851,27.830,27.002,26.039,69.963,69.089,68.704,68.240,68.321,68.301,68.289,69.879,70.407,71.002,70.080,69.222,68.192,68.252,68.701,69.112,68.973,68.940,69.047,69.532,69.962,69.458,69.052,68.533,68.567,68.708,68.979
"Head Rotation Z",12.253,12.579,12.969,12.844,12.789,12.577,12.647,13.180,13.049,13.204,13.566,13.911,13.865,14.010,14.287,14.335,14.545,14.455,14.405,14.380,14.334,14.388,14.337,14.980,15.174,14.594,13.937,14.235,14.236,14.602,14.627,14.525,14.589,14.575,14.389,13.133,12.683,12.523,12.594,12.808,13.831,13.633,13.999,14.705,15.269,15.240,15.085,14.522,14.124,14.362,14.633,15.088,15.070,15.048,14.933
"Player Height",1.249,1.249,1.248,1.248,1.248,1.249,1.250,1.252,1.252,1.253,1.253,1.254,1.255,1.255,1.256,1.256,1.257,1.256,1.256,1.256,1.255,1.255,1.254,1.250,1.248,1.248,1.249,1.249,1.249,1.249,1.249,1.250,1.250,1.250,1.249,1.246,1.245,1.250,1.248,1.246,1.240,1.239,1.240,1.242,1.244,1.244,1.244,1.244,1.243,1.243,1.244,1.244,1.244,1.244,1.245
