"Player Position X {0.100}";"Player Position Y {0.100}";"Player Position {0.100}"";"Head Rotation X {0.100}";"Head Rotation Y {0.100}";"Head Rotation {0.100}"";"Player Height {0.100}";"Object Viewed {0.100}"
5.500;0.000;4.120;338.914;261.300;359.106;0.823;"SmokePlane (14) from [33.56] to [71.33]"
5.500;0.000;4.120;338.905;261.305;359.099;0.823;"Cube.009 from [71.33] to [76.46]"
5.500;0.000;4.120;338.869;261.297;359.104;0.823;"SmokePlane (14) from [76.46] to [77.06]"
5.500;0.000;4.120;338.905;261.298;359.109;0.823;"Cube from [77.06] to [77.20]"
5.500;0.000;4.120;338.887;261.307;359.097;0.823;"Cube.004 from [77.20] to [77.30]"
5.500;0.000;4.120;338.913;261.307;359.095;0.823;"SmokePlane (14) from [77.30] to [77.66]"
5.500;0.000;4.120;338.914;261.296;359.109;0.823;"Cube.009 from [77.66] to [77.87]"
5.500;0.000;4.120;338.897;261.287;359.105;0.823;"SmokePlane (14) from [77.87] to [78.00]"
5.500;0.000;4.120;338.911;261.297;359.097;0.823;"Cube.009 from [78.00] to [78.91]"
5.500;0.000;4.120;338.913;261.290;359.111;0.823;"Frame Top from [78.91] to [79.14]"
5.500;0.000;4.120;338.939;261.284;359.090;0.823;"SmokePlane (14) from [79.14] to [79.37]"
5.500;0.000;4.120;338.938;261.299;359.090;0.823;"Cube.009 from [79.37] to [79.94]"
5.500;0.000;4.120;338.930;261.308;359.094;0.823;"SmokePlane (16) from [79.94] to [81.04]"
5.500;0.000;4.120;338.901;261.309;359.088;0.823;"SmokePlane (14) from [81.04] to [81.51]"
5.500;0.000;4.120;338.916;261.307;359.093;0.823;"Closet Door Left from [81.51] to [81.87]"
5.500;0.000;4.120;338.917;261.311;359.099;0.823;"Mircrowave from [81.87] to [81.97]"
5.500;0.000;4.120;338.907;261.306;359.097;0.823;"Cube.004 from [81.97] to [82.45]"
5.500;0.000;4.120;338.903;261.299;359.103;0.823;"Cube.004 from [82.45] to [82.67]"
5.500;0.000;4.120;338.905;261.316;359.089;0.823;"Cube.004 from [82.67] to [82.77]"
5.500;0.000;4.120;338.915;261.305;359.092;0.823;"Door from [82.77] to [82.99]"
5.500;0.000;4.120;338.897;261.292;359.097;0.823;"Mircrowave from [82.99] to [83.10]"
5.500;0.000;4.120;338.910;261.286;359.098;0.823;"Closet Door Left from [83.10] to [83.24]"
5.500;0.000;4.120;338.889;261.299;359.099;0.823;"Closet from [83.24] to [83.34]"
5.500;0.000;4.120;338.921;261.293;359.097;0.823;"Closet Door Right from [83.34] to [83.45]"
5.500;0.000;4.120;338.921;261.287;359.094;0.823;"Handle from [83.45] to [83.57]"
5.500;0.000;4.120;338.928;261.280;359.093;0.823;"SmokePlane (20) from [83.57] to [83.80]"
5.500;0.000;4.120;338.922;261.279;359.091;0.823;"SmokePlane (18) from [83.80] to [84.13]"
5.500;0.000;4.120;338.914;261.290;359.097;0.823;"SmokePlane (14) from [84.13] to [84.81]"
5.500;0.000;4.120;338.912;261.300;359.101;0.823;"SmokePlane (16) from [84.81] to [85.27]"
5.500;0.000;4.120;338.917;261.292;359.110;0.823;
5.500;0.000;4.120;338.930;261.296;359.116;0.823;
5.500;0.000;4.120;338.933;261.292;359.105;0.823;
5.500;0.000;4.120;338.915;261.279;359.114;0.823;
5.500;0.000;4.120;338.932;261.301;359.094;0.823;
5.500;0.000;4.120;338.926;261.291;359.100;0.823;
5.500;0.000;4.120;338.908;261.293;359.101;0.823;
5.500;0.000;4.120;338.933;261.299;359.093;0.823;
5.500;0.000;4.120;338.950;261.290;359.092;0.823;
5.500;0.000;4.120;338.924;261.293;359.088;0.823;
5.500;0.000;4.120;338.918;261.301;359.094;0.823;
5.500;0.000;4.120;338.918;261.294;359.093;0.823;
5.500;0.000;4.120;338.910;261.294;359.093;0.823;
5.500;0.000;4.120;338.913;261.297;359.092;0.823;
5.500;0.000;4.120;338.914;261.294;359.093;0.823;
5.500;0.000;4.120;338.893;261.288;359.100;0.823;
5.500;0.000;4.120;338.908;261.296;359.099;0.823;
5.500;0.000;4.120;338.917;261.297;359.092;0.823;
5.500;0.000;4.120;338.928;261.289;359.094;0.823;
5.500;0.000;4.120;338.926;261.295;359.097;0.823;
5.500;0.000;4.120;338.922;261.298;359.092;0.823;
5.500;0.000;4.120;338.925;261.298;359.101;0.824;
5.500;0.000;4.120;338.930;261.294;359.092;0.823;
5.500;0.000;4.120;338.924;261.299;359.093;0.823;
5.500;0.000;4.120;338.919;261.287;359.092;0.823;
5.500;0.000;4.120;338.919;261.312;359.091;0.823;
5.500;0.000;4.120;338.916;261.285;359.098;0.823;
5.500;0.000;4.120;338.925;261.296;359.096;0.823;
5.500;0.000;4.120;338.920;261.301;359.086;0.824;
5.500;0.000;4.120;338.924;261.293;359.085;0.824;
5.500;0.000;4.120;338.924;261.294;359.081;0.824;
5.500;0.000;4.120;338.921;261.300;359.095;0.823;
5.500;0.000;4.120;338.914;261.302;359.080;0.823;
