"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
5.992,0.000,4.047,15.941,197.291,8.052,1.475,"SmokePlane (14) from [195.02] to [199.57]",
5.992,0.000,4.047,15.224,204.779,6.051,1.477,"SmokePlane (15) from [199.57] to [199.78]",
5.992,0.000,4.047,13.301,211.738,4.117,1.480,"NPC Martha from [199.78] to [199.89]",
5.992,0.000,4.047,11.970,218.789,4.386,1.485,"Wall_door_307 from [199.89] to [200.12]",
5.992,0.000,4.047,12.143,225.600,1.484,1.487,"Door_frame_right_307 from [200.12] to [200.23]",
5.992,0.000,4.047,12.498,234.495,0.675,1.491,"Wall_door_307 from [200.23] to [200.34]",
5.992,0.000,4.047,10.788,245.825,359.544,1.492,"SmokePlane (15) from [200.34] to [203.11]",
5.992,0.000,4.047,10.691,255.997,358.470,1.494,"SmokePlane (17) from [203.11] to [206.39]",
5.992,0.000,4.047,10.271,263.333,357.289,1.493,"Corridor_ceiling_east_west from [206.39] to [208.67]",
5.992,0.000,4.047,10.180,266.531,0.626,1.493,"Wall_door_310 from [208.67] to [209.00]",
5.992,0.000,4.047,9.370,267.261,2.271,1.496,"Door_310 from [209.00] to [210.66]",
5.992,0.000,4.047,8.501,267.198,3.724,1.494,"Door_frame_right_310 from [210.66] to [210.77]",
5.992,0.000,4.047,7.330,266.505,6.465,1.493,"Wall_door_310 from [210.77] to [211.11]",
5.992,0.000,4.047,5.564,266.020,5.871,1.494,"Wall_door_309 from [211.11] to [212.11]",
5.966,0.000,4.005,3.217,266.833,3.121,1.501,"Door_frame_left_309 from [212.11] to [212.44]",
5.917,0.000,3.951,0.447,268.791,0.925,1.505,"Door_309 from [212.44] to [220.55]",
5.851,0.000,3.908,358.460,271.379,0.127,1.509,"Wall_window_309 from [220.55] to [220.77]",
5.766,0.000,3.882,357.903,274.391,0.002,1.508,"Old_chair_leg_back_309.02 from [220.77] to [220.88]",
5.662,0.000,3.878,358.941,276.594,0.013,1.506,"Wall_window_309 from [220.88] to [222.01]",
5.553,0.000,3.888,1.390,276.515,0.964,1.501,"Door_309 from [222.01] to [222.24]",
5.442,0.000,3.897,3.176,275.196,1.204,1.500,"Wall_door_309 from [222.24] to [222.35]",
5.317,0.000,3.890,4.891,273.495,1.851,1.496,"Wall_door_310 from [222.35] to [222.46]",
5.193,0.000,3.877,5.007,272.453,1.768,1.495,"SmokePlane (20) from [222.46] to [224.27]",
5.069,0.000,3.865,4.792,272.408,1.784,1.494,"SmokePlane (31) from [224.27] to [226.47]",
4.946,0.000,3.856,4.889,272.386,1.756,1.494,"SmokePlane (26) from [226.47] to [228.03]",
4.823,0.000,3.851,5.187,272.741,1.394,1.494,"SmokePlane (29) from [228.03] to [228.58]",
4.699,0.000,3.850,5.173,272.884,0.707,1.493,"SmokePlane (14) from [228.58] to [230.68]",
4.575,0.000,3.850,5.949,272.668,0.461,1.492,"SmokePlane (15) from [230.68] to [231.14]",
4.454,0.000,3.855,6.489,272.223,0.616,1.492,"NPC Martha from [231.14] to [231.70]",
4.333,0.000,3.863,6.842,271.895,0.879,1.491,"SmokePlane (30) from [231.70] to [232.81]",
4.211,0.000,3.871,7.949,271.743,1.069,1.488,"SmokePlane (18) from [232.81] to [234.92]",
4.090,0.000,3.877,9.873,271.670,1.733,1.485,"SmokePlane (33) from [234.92] to [236.70]",
3.964,0.000,3.883,11.614,270.903,2.204,1.482,"Door_311 from [236.70] to [236.81]",
3.847,0.000,3.885,13.165,269.219,2.147,1.480,"Wall_door_311 from [236.81] to [237.05]",
3.726,0.000,3.884,14.448,267.787,1.628,1.477,"SmokePlane (17) from [237.05] to [237.29]",
3.603,0.000,3.880,16.373,266.585,0.917,1.474,"SmokePlane (26) from [237.29] to [238.46]",
3.479,0.000,3.874,17.820,266.640,0.922,1.472,"SmokePlane (17) from [238.46] to [238.58]",
3.353,0.000,3.869,19.489,267.256,1.492,1.469,"Door_311 from [238.58] to [238.68]",
3.227,0.000,3.864,20.262,267.844,1.725,1.468,"SmokePlane (33) from [238.68] to [239.68]",
3.102,0.000,3.860,21.244,268.110,2.099,1.466,"SmokePlane (19) from [239.68] to [241.46]",
2.973,0.000,3.856,22.649,268.151,2.387,1.463,"Corridor_wall_west from [241.46] to [241.90]",
2.851,0.000,3.852,23.233,268.312,2.374,1.462,"Corridor_ceiling_east_west from [241.90] to [245.46]",
2.726,0.000,3.848,23.535,268.149,1.961,1.461,"Corridor_wall_west from [245.46] to [245.90]",
2.601,0.000,3.843,24.078,268.031,2.096,1.460,"Corridor_ceiling_east_west from [245.90] to [246.01]",
2.476,0.000,3.838,24.272,267.738,1.822,1.460,"Emergency_door_north_wall from [246.01] to [246.12]",
