"Player Position X",5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.630,5.600,5.480,5.330,5.050,4.590,4.210,4.210,3.870,3.830,3.680,3.160,2.790,2.790,2.780,2.760,2.620,2.590,2.480,2.470,2.360,2.150,2.050,1.910,1.640,1.460,1.160,0.960,0.680,0.310,0.310,0.310,0.310,0.310,0.120,0.120,0.120,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.750,0.790,0.500,0.280,0.260,0.220,0.460,0.560,0.610,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.920
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.660,3.670,3.680,3.750,3.840,3.910,3.910,3.940,3.940,3.930,3.910,3.890,3.890,3.890,3.890,3.880,3.880,3.870,3.870,3.870,3.860,3.870,3.860,3.870,3.900,3.940,3.950,3.970,4.030,4.030,4.030,4.030,4.030,4.100,4.100,4.100,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,4.120,8.500,9.890,12.360,13.490,14.240,14.480,14.930,15.290,15.540,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.740
"Head Rotation X",297.038,297.030,297.036,297.055,297.039,297.025,297.026,297.016,297.024,297.024,297.020,297.017,297.018,297.029,297.002,297.024,297.019,297.017,297.011,297.007,297.012,297.009,297.016,297.004,297.016,297.002,297.014,296.993,297.001,297.028,297.008,297.013,297.016,297.017,297.006,297.003,297.010,297.019,297.021,296.998,297.008,297.002,297.018,296.994,297.002,297.001,297.007,296.999,297.010,297.002,297.006,297.011,297.007,297.011,297.027,297.020,297.027,297.026,297.051,297.041,297.040,297.037,297.019,297.024,297.019,297.003,297.027,297.027,297.026,297.034,297.028,297.028,297.019,297.025,297.032,297.033,297.019,297.025,297.030,297.018,297.033,297.013,297.020,297.037,297.014,297.029,297.025,297.044,297.033,297.041,297.047,297.035,297.022,297.023,297.045,297.015,296.999,297.023,297.016,297.007,297.008,297.011,297.002,296.995,297.009,297.008,297.012,296.997,297.013,297.010,297.010,297.015,297.013,297.011,297.016,297.013,297.009,297.029,297.021,297.011,297.028,297.007,297.002,297.013,297.027,296.997,297.006,297.005,297.009,297.021,297.019,297.005,297.036,297.034,297.026,297.028,297.030,297.022,297.030,297.045,297.042,297.035,297.032,297.036,297.026,297.030,297.025,297.019,297.030,297.028,297.033,297.027,297.037,297.026,297.028,297.019,297.032,297.016,297.014,297.018,297.023,297.027,297.029,297.015,297.016,297.012,297.026,297.014,297.037,297.033,297.018,297.015,297.022,297.030,297.026,297.029,297.032,297.019,297.015,297.002,297.006,297.006,296.998,297.019,297.011,297.002,297.022,297.007,297.005,297.013,297.005,297.008,297.007,297.003,297.003,296.994,296.992,297.001,296.992,296.982,297.014,297.003,296.998,296.990,297.016,297.008,297.003,297.003,297.005,297.017,297.022,297.026,297.025,297.023,297.034,297.032,297.039,297.029,297.036,297.025,297.019,297.021,297.031,297.014,297.031,297.027,297.037,297.033,297.027,297.032,297.021,297.024,297.035,297.028,297.020,297.027,297.020,297.016,297.023,297.025,297.026,297.015,297.013,297.024,297.013,297.011,297.007,297.005,297.011,297.015,297.018,297.012,297.017,297.019,297.024,297.030,297.023,297.011,297.033,297.038,297.024,297.023,297.020,297.023,297.022,297.029,297.018,297.008,297.007,297.019,297.022,297.006
"Head Rotation Y",287.235,287.242,287.224,287.229,287.236,287.264,287.230,287.232,287.246,287.253,287.222,287.227,287.233,287.249,287.235,287.227,287.215,287.242,287.240,287.217,287.216,287.251,287.236,287.243,287.220,287.235,287.239,287.197,287.225,287.259,287.212,287.255,287.242,287.227,287.236,287.239,287.248,287.263,287.237,287.229,287.210,287.196,287.221,287.270,287.216,287.269,287.238,287.234,287.239,287.212,287.215,287.223,287.212,287.226,287.233,287.248,287.226,287.231,287.222,287.256,287.248,287.235,287.233,287.245,287.247,287.251,287.202,287.221,287.218,287.246,287.205,287.228,287.210,287.222,287.210,287.231,287.232,287.258,287.233,287.210,287.243,287.234,287.255,287.224,287.248,287.227,287.227,287.218,287.235,287.211,287.219,287.236,287.224,287.186,287.235,287.235,287.225,287.239,287.218,287.217,287.220,287.227,287.197,287.219,287.235,287.219,287.215,287.225,287.240,287.213,287.211,287.218,287.208,287.237,287.221,287.234,287.243,287.220,287.220,287.231,287.222,287.224,287.215,287.258,287.246,287.208,287.237,287.216,287.247,287.240,287.231,287.230,287.207,287.243,287.238,287.249,287.246,287.237,287.226,287.240,287.236,287.230,287.225,287.223,287.218,287.222,287.235,287.259,287.235,287.245,287.248,287.243,287.261,287.243,287.228,287.226,287.253,287.223,287.256,287.243,287.232,287.278,287.241,287.238,287.265,287.234,287.248,287.233,287.255,287.227,287.219,287.234,287.221,287.238,287.240,287.230,287.212,287.215,287.228,287.255,287.232,287.258,287.197,287.210,287.232,287.226,287.233,287.226,287.208,287.217,287.205,287.209,287.223,287.224,287.192,287.191,287.219,287.231,287.247,287.272,287.253,287.259,287.220,287.222,287.218,287.232,287.232,287.215,287.216,287.223,287.245,287.215,287.209,287.218,287.226,287.226,287.237,287.246,287.208,287.235,287.212,287.228,287.210,287.209,287.218,287.244,287.210,287.220,287.225,287.231,287.234,287.237,287.225,287.231,287.231,287.220,287.208,287.219,287.238,287.228,287.214,287.206,287.208,287.199,287.209,287.209,287.217,287.220,287.212,287.218,287.226,287.228,287.248,287.218,287.223,287.213,287.223,287.187,287.202,287.224,287.228,287.206,287.255,287.242,287.232,287.227,287.231,287.225,287.235,287.210,287.238,287.224
"Head Rotation Z",358.401,358.399,358.418,358.414,358.398,358.386,358.409,358.409,358.404,358.388,358.417,358.398,358.396,358.391,358.420,358.419,358.431,358.409,358.405,358.420,358.412,358.397,358.405,358.403,358.429,358.406,358.408,358.437,358.421,358.379,358.423,358.395,358.397,358.415,358.412,358.417,358.418,358.394,358.419,358.427,358.440,358.447,358.425,358.391,358.442,358.386,358.403,358.422,358.416,358.429,358.439,358.433,358.431,358.421,358.414,358.395,358.410,358.418,358.412,358.376,358.381,358.399,358.399,358.397,358.397,358.382,358.434,358.421,358.428,358.391,358.428,358.414,358.422,358.414,358.422,358.404,358.416,358.395,358.411,358.428,358.405,358.408,358.377,358.411,358.395,358.415,358.422,358.422,358.396,358.419,358.419,358.412,358.421,358.461,358.399,358.400,358.415,358.403,358.425,358.421,358.432,358.415,358.441,358.415,358.416,358.422,358.415,358.420,358.403,358.429,358.430,358.426,358.444,358.415,358.431,358.412,358.406,358.432,358.422,358.416,358.430,358.428,358.425,358.380,358.407,358.429,358.405,358.424,358.399,358.405,358.419,358.421,358.433,358.397,358.407,358.396,358.401,358.396,358.411,358.399,358.412,358.412,358.415,358.417,358.414,358.420,358.400,358.370,358.407,358.396,358.403,358.403,358.387,358.397,358.420,358.410,358.383,358.411,358.384,358.401,358.405,358.380,358.409,358.415,358.367,358.419,358.391,358.405,358.384,358.412,358.423,358.407,358.429,358.409,358.408,358.415,358.424,358.423,358.404,358.388,358.414,358.385,358.451,358.436,358.405,358.423,358.408,358.415,358.434,358.427,358.439,358.438,358.426,358.425,358.458,358.458,358.435,358.415,358.404,358.361,358.391,358.387,358.434,358.421,358.424,358.407,358.413,358.434,358.427,358.422,358.406,358.428,358.431,358.424,358.420,358.408,358.395,358.395,358.418,358.405,358.419,358.408,358.440,358.422,358.413,358.391,358.424,358.422,358.412,358.411,358.404,358.402,358.416,358.406,358.401,358.420,358.432,358.428,358.409,358.425,358.437,358.439,358.435,358.441,358.431,358.433,358.422,358.422,358.425,358.423,358.420,358.408,358.401,358.421,358.419,358.429,358.426,358.470,358.444,358.413,358.409,358.429,358.387,358.393,358.408,358.408,358.414,358.421,358.413,358.435,358.411,358.427
"Player Height",0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820
"Object Viewed"
