"Player Position X",5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.830,5.870,5.690,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.680,5.700,5.930,6.120,6.280,6.390,6.500
"Player Position Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z",3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.470,0.440,0.240,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.140,0.120,-0.110,-0.300,-0.510,-0.720,-1.050
"Head Rotation X",306.104,306.116,306.094,306.105,306.109,306.106,306.106,306.114,306.099,306.121,306.109,306.253,306.182,306.139,306.107,306.099,307.699,322.409,333.893,356.602,349.740,354.180,355.965,356.315,355.357,355.709,355.636,354.970,354.811,354.616,354.671,354.756,355.466,356.663,6.173,8.432,8.419,10.365,11.140,15.219,16.083,18.067,22.482,22.137,17.992,12.183,6.724,4.806,7.476,11.188,13.841,15.222,15.765,14.078,6.909,355.816,344.433,331.131,319.565,315.053,306.087,294.651,288.787,288.313,298.173,303.483,307.933,315.133,318.310,321.703,333.004,341.819,343.926,343.095,342.863,348.785,352.461,353.357,356.599,7.086,18.677,22.737,23.529,24.197,23.040,22.679,20.316,17.614,15.530,10.027,7.412,4.131,0.701,358.483,356.585,356.398,356.808,356.874,356.844,356.853,356.743,356.855,356.863,356.840,356.860,356.883,356.891,356.886,356.891,356.888,356.892,356.873,356.887,356.886,356.910,356.896,356.902,356.904,356.923,356.923,356.896,356.913,356.922,356.912,356.929,356.922,356.929,356.927,356.937,356.934,356.918,356.923,356.921,356.930,356.927,356.929,356.932,356.936,356.944,356.943,356.936,356.940,356.933,356.935,356.933,356.943,356.943,356.941,356.945,356.946,356.945,356.936,356.938,356.958,356.943,356.942
"Head Rotation Y",275.740,275.725,275.736,275.741,275.744,275.741,275.737,275.751,275.718,275.714,275.730,275.208,275.249,275.210,275.381,275.481,275.104,275.490,276.279,277.540,276.711,277.436,276.802,275.788,274.354,273.222,265.635,250.938,243.423,232.487,230.180,227.629,229.892,232.011,237.593,236.915,237.395,237.967,234.204,226.507,217.854,201.261,181.039,179.000,183.442,200.561,230.600,246.378,260.651,278.289,294.781,303.899,313.830,319.699,330.629,341.794,352.203,4.079,17.841,24.935,38.061,51.187,72.132,118.257,156.532,172.024,176.334,175.025,157.475,149.571,151.181,154.874,156.094,158.178,165.543,173.621,189.758,209.755,213.084,217.664,214.326,211.819,219.463,235.356,251.023,263.945,270.170,272.777,273.106,274.274,275.371,274.785,274.738,274.604,274.635,275.269,275.555,274.941,274.640,275.029,275.325,275.078,275.085,275.073,275.074,275.096,275.094,275.079,275.081,275.073,275.079,275.091,275.085,275.067,275.079,275.061,275.048,275.059,275.059,275.040,275.052,275.047,275.044,275.050,275.054,275.054,275.065,275.076,275.058,275.057,275.060,275.053,275.046,275.052,275.042,275.041,275.041,275.043,275.037,275.046,275.045,275.047,275.052,275.052,275.046,275.047,275.051,275.045,275.051,275.053,275.056,275.052,275.045,275.043,275.049,275.047
"Head Rotation Z",359.251,359.257,359.250,359.240,359.241,359.249,359.260,359.252,359.265,359.269,359.257,359.258,359.247,359.219,359.277,359.248,359.249,359.286,359.254,359.216,359.776,356.604,359.089,359.260,359.070,359.202,359.129,359.322,359.129,359.113,359.083,359.006,359.065,359.163,359.883,351.535,345.799,340.725,332.562,329.022,331.804,337.396,349.968,352.075,351.945,353.000,346.947,338.783,333.514,324.614,324.224,322.532,320.569,320.523,316.866,305.462,290.436,273.438,254.220,243.307,222.668,199.217,167.972,112.654,61.337,30.930,21.672,13.502,19.315,20.610,12.989,9.137,4.680,2.164,359.591,0.096,357.775,350.117,345.702,337.044,332.667,331.882,332.293,336.717,341.493,343.571,348.721,353.490,357.080,358.901,1.743,4.871,6.289,4.925,2.168,3.284,358.316,359.170,359.057,358.943,358.901,358.944,358.942,358.934,358.947,358.942,358.962,358.952,358.955,358.949,358.955,358.942,358.931,358.942,358.948,358.957,358.960,358.967,358.966,358.968,358.973,358.971,358.969,358.973,358.971,358.974,358.966,358.981,358.979,358.983,358.980,358.984,358.991,358.985,358.983,358.983,358.978,358.983,358.985,358.977,358.975,358.985,358.979,358.984,358.982,358.985,358.977,358.982,358.976,358.992,358.982,358.978,358.982,358.964,358.973,358.973
"Player Height",0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.822,0.823,0.823,0.823,0.824,0.820,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.824,0.824,0.824,0.834,0.875,0.927,1.011,1.089,1.142,1.155,1.169,1.174,1.173,1.176,1.182,1.195,1.205,1.218,1.228,1.229,1.227,1.224,1.220,1.222,1.239,1.262,1.286,1.305,1.306,1.306,1.302,1.293,1.279,1.253,1.240,1.234,1.221,1.194,1.172,1.135,1.105,1.098,1.102,1.101,1.086,1.076,1.087,1.094,1.110,1.120,1.124,1.129,1.120,1.100,1.064,1.006,0.965,0.930,0.896,0.870,0.852,0.836,0.828,0.827,0.827,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.823,0.823,0.823,0.823,0.823,0.824,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823
"Object Viewed","Ceiling from [24.73] to [26.88]","SmokePlane (14) from [26.88] to [27.96]","Cube.009 from [27.96] to [28.21]","Door from [28.21] to [28.44]","SmokePlane (16) from [28.44] to [28.54]","Door from [28.54] to [28.76]","Plane from [28.76] to [29.24]","Grid.002 from [29.24] to [29.34]","Plane from [29.34] to [29.45]","Grid.002 from [29.45] to [29.56]","Grid.001 from [29.56] to [29.79]","SmokePlane (23) from [29.79] to [29.90]","Cube.001 from [29.90] to [30.03]","Cube.006 from [30.03] to [30.13]","SmokePlane (16) from [30.13] to [30.25]","Cube.009 from [30.25] to [30.47]","SmokePlane (14) from [30.47] to [30.59]","Cube from [30.59] to [31.83]","Ceiling from [31.83] to [32.84]","Cube.003 from [32.84] to [33.28]","SmokePlane (25) from [33.28] to [33.39]","SmokePlane (23) from [33.39] to [33.81]","Cube.007 from [33.81] to [33.94]","Plane from [33.94] to [34.39]","Grid from [34.39] to [34.62]","Ground from [34.62] to [34.96]","SmokePlane (14) from [34.96] to [39.34]","SmokePlane (16) from [39.34] to [42.56]"
