"Player Height {0.100}",1.550,1.550,1.535,1.521,1.521,1.523,1.530,1.525,1.526,1.534,1.538,1.539,1.538,1.543,1.550,1.556,1.561,1.566,1.568,1.570,1.570,1.570,1.565,1.563,1.564,1.563,1.564,1.553,1.522,1.507,1.499,1.495,1.496,1.499,1.513,1.529,1.542,1.549,1.551,1.553,1.553,1.551,1.545,1.526,1.523,1.519,1.517,1.515,1.511,1.501,1.494,1.492,1.495,1.503,1.518,1.535,1.550,1.552,1.552,1.543,1.538,1.531,1.522,1.518,1.510,1.499,1.492,1.492,1.495,1.497,1.497,1.498,1.498,1.495,1.491,1.491,1.492,1.491,1.493,1.494,1.495,1.499,1.498,1.498,1.507,1.514,1.525,1.533,1.551,1.558,1.559,1.560,1.562,1.565,1.572,1.578,1.582,1.584,1.587,1.589,1.595,1.592,1.590,1.591,1.593,1.595,1.597,1.597,1.598,1.583,1.575,1.571,1.573,1.578,1.585,1.593,1.597,1.597,1.595,1.595,1.593,1.590,1.574,1.569,1.563,1.558,1.554,1.553,1.563,1.571,1.576,1.579,1.579,1.580,1.582,1.581,1.578,1.579,1.584,1.588,1.590,1.587,1.590,1.594,1.600,1.601,1.601,1.599,1.591,1.576,1.575,1.583,1.586,1.589,1.590,1.592,1.593,1.594,1.592,1.590,1.589,1.591,1.594,1.597,1.600,1.606,1.587,1.596,1.601,1.599,1.595,1.593,1.597,1.604,1.608,1.610,1.610,1.605,1.605,1.606,1.610,1.617,1.617,1.614,1.610,1.606,1.609,1.603,1.605,1.605,1.590,1.582,1.584,1.587,1.588,1.589,1.589,1.588,1.593,1.590,1.590,1.589,1.590,1.592,1.591,1.593,1.595,1.593,1.587,1.578,1.575,1.584,1.584,1.585,1.581,1.594,1.591,1.590,1.594,1.602,1.600,1.596,1.594,1.593,1.593,1.592,1.592,1.590,1.589,1.588,1.588,1.588,1.588,1.589,1.589,1.589,1.590,1.590,1.590,1.590,1.590,1.590,1.591,1.591,1.591,1.591,1.590,1.591,1.590,1.590,1.589,1.589,1.588,1.587,1.587,1.586,1.585,1.584,1.583,1.572,1.566,1.560,1.561,1.558,1.556,1.552,1.547,1.545,1.540,1.536,1.533,1.532
"Head Rotation X {0.100}",24.433,24.135,30.575,35.564,35.331,35.163,31.997,32.826,31.339,27.218,25.977,25.386,25.595,24.413,22.259,20.130,18.463,16.401,15.788,15.248,15.727,15.737,17.754,18.952,18.523,18.491,18.041,23.081,35.180,40.186,43.391,44.543,44.238,42.980,37.592,31.571,26.369,23.858,22.824,22.040,22.041,23.137,25.922,33.016,33.931,35.604,35.924,36.629,37.993,41.367,43.488,43.584,42.948,39.824,33.780,27.348,21.898,21.218,21.537,25.136,27.525,30.212,33.477,34.813,37.271,41.769,44.281,43.978,43.116,42.545,42.460,42.163,42.040,43.422,45.238,45.029,44.926,45.117,43.873,43.369,42.717,41.480,42.274,41.910,38.838,36.500,31.931,28.637,20.754,17.868,17.759,17.254,16.699,15.278,11.779,7.924,6.156,5.327,3.850,2.778,0.787,3.460,4.483,4.296,3.115,1.737,0.281,0.615,0.142,8.209,12.254,14.120,12.987,9.621,5.023,0.929,359.354,359.177,0.915,1.286,1.945,3.866,12.496,14.402,15.968,16.742,18.019,17.754,12.577,8.060,6.003,5.262,4.747,4.271,3.588,3.922,4.801,3.938,2.418,0.244,357.971,358.001,357.442,356.911,355.495,355.677,355.496,355.979,0.512,8.604,8.915,4.518,2.900,1.168,0.259,359.477,358.918,358.255,359.721,0.720,1.675,1.396,359.839,358.587,357.614,354.723,4.933,358.656,356.207,357.807,359.929,0.492,358.058,354.373,351.535,351.448,351.899,354.580,354.910,354.218,352.785,348.522,348.016,349.765,352.253,354.487,353.318,356.091,355.845,356.635,2.893,4.662,3.301,2.493,1.742,1.211,1.390,1.777,359.326,0.556,0.509,0.911,0.660,0.228,0.333,359.885,359.024,359.527,0.782,2.067,3.829,3.101,0.731,1.693,2.805,0.662,1.575,1.628,0.755,357.342,358.523,0.471,1.812,2.420,2.354,2.857,2.939,3.568,4.120,4.450,4.531,4.517,4.530,4.462,4.342,4.350,4.283,4.154,4.118,4.017,4.170,4.146,3.901,3.756,3.646,3.771,3.966,3.837,3.935,4.159,4.179,4.581,5.146,5.432,5.613,6.075,6.516,6.692,7.165,12.679,15.644,18.291,18.590,19.392,20.100,21.296,22.815,23.246,24.746,26.102,25.846,26.717
"Head Rotation Y {0.100}",230.120,231.490,232.753,251.048,265.437,265.774,262.526,276.560,292.960,308.365,309.599,307.658,303.751,295.054,285.686,276.303,267.065,262.081,260.080,259.738,261.718,263.401,266.305,264.311,263.237,263.870,261.875,256.594,245.879,245.713,242.509,241.811,242.875,242.788,238.982,244.929,257.098,259.447,257.941,263.754,267.767,265.078,264.280,262.085,264.492,266.206,264.936,267.051,265.541,266.710,268.694,272.047,271.807,265.127,271.154,264.900,260.240,260.492,260.727,260.684,260.220,260.245,259.151,257.558,254.701,252.060,245.786,240.247,242.795,244.787,245.913,247.231,249.081,246.881,241.648,238.907,238.440,238.435,237.388,234.182,236.384,236.010,236.126,235.645,233.875,229.708,216.177,210.073,198.346,194.390,192.491,193.517,195.376,197.345,181.202,171.902,168.364,170.505,171.793,173.434,186.388,208.482,212.518,211.284,210.552,201.164,185.365,187.987,194.002,196.119,197.783,192.990,190.156,177.892,167.409,162.556,164.588,162.887,174.074,183.872,195.820,200.983,222.732,249.106,274.128,294.205,305.772,323.803,339.770,343.253,340.433,335.004,332.914,332.902,332.839,331.984,330.987,332.793,334.919,335.240,334.790,333.627,333.688,336.943,337.431,337.897,338.907,338.011,337.147,335.788,336.357,338.482,338.178,338.419,337.828,337.532,337.525,334.220,329.157,324.281,320.349,319.495,314.708,311.790,305.054,301.397,291.003,289.840,292.213,297.986,303.024,301.603,299.792,292.243,274.697,258.301,238.017,243.374,219.545,205.470,198.240,209.676,224.265,216.471,204.801,196.061,205.332,199.616,213.905,258.699,315.363,341.395,357.130,355.779,353.091,348.227,345.109,340.446,335.309,335.262,336.950,337.968,339.227,338.866,338.865,339.738,337.914,337.571,338.241,338.722,334.542,333.008,332.613,335.913,344.124,350.297,350.352,349.990,350.873,353.782,353.280,352.285,351.908,353.040,357.170,2.215,4.687,3.585,1.616,1.377,1.478,1.589,1.326,1.611,1.866,2.411,2.476,2.339,2.278,2.479,2.583,2.700,2.229,1.882,1.260,1.091,0.291,359.532,358.832,358.407,357.926,357.687,358.081,358.299,358.837,358.950,358.711,359.032,1.202,9.355,14.151,15.237,13.737,12.405,15.265,17.830,21.549,26.508,28.729,28.960,34.538,37.230
"Head Rotation Z {0.100}",0.499,0.358,359.927,5.478,8.927,6.935,5.766,7.499,9.463,10.969,9.568,10.001,9.534,5.385,1.617,0.232,359.992,1.460,1.988,2.075,2.479,0.763,0.845,358.968,358.555,358.509,359.005,0.952,1.186,1.088,1.213,0.159,359.976,359.650,357.636,359.480,2.165,1.487,0.883,1.415,1.972,1.905,2.562,4.015,3.962,3.380,2.770,4.095,4.751,7.000,8.912,9.969,9.077,6.107,7.414,4.029,2.904,2.514,2.370,2.730,3.198,3.130,2.888,3.968,4.072,4.281,2.238,0.154,1.982,3.226,2.977,3.487,4.744,3.817,2.353,2.495,1.736,1.699,1.647,0.866,1.328,359.624,359.130,359.572,359.310,357.218,352.200,351.734,351.543,352.677,352.507,353.227,353.937,354.827,353.594,354.171,354.697,355.235,355.083,355.824,357.767,1.166,1.123,0.716,0.777,0.696,359.466,359.646,0.670,359.321,359.418,358.171,357.918,355.726,355.537,356.616,357.704,357.515,358.004,357.023,356.996,355.485,358.324,1.031,2.753,4.353,4.556,6.108,8.213,9.074,7.937,6.327,6.793,7.103,7.037,6.731,6.641,5.436,3.316,5.972,8.934,8.492,6.742,5.253,3.331,2.599,1.671,2.581,2.536,2.187,2.713,4.030,3.624,4.004,3.846,3.488,3.497,3.273,3.371,3.441,3.393,2.638,1.016,0.498,1.245,2.188,3.812,4.709,3.996,2.129,0.849,0.718,0.487,359.012,359.666,359.130,1.570,359.280,0.847,0.085,1.070,1.470,1.131,1.333,1.242,0.222,0.678,359.055,0.828,358.976,1.437,3.804,5.542,3.643,2.529,1.533,2.151,2.091,2.022,1.624,1.469,1.593,0.618,0.334,0.186,359.629,0.885,2.535,5.183,9.005,8.023,0.882,357.826,356.627,359.320,1.111,8.599,10.026,5.508,1.297,2.247,0.906,359.617,359.516,358.804,357.745,356.918,356.898,357.171,357.484,357.550,357.279,357.214,357.384,356.959,356.462,356.402,356.608,356.553,356.199,355.923,355.918,356.135,356.398,356.658,356.658,357.221,357.330,357.742,358.158,358.418,358.501,358.387,358.195,357.763,357.794,357.669,357.706,357.106,358.485,359.303,359.226,359.529,359.900,359.805,0.118,0.541,1.994,4.811,6.326,9.730,7.966
"Player Position X {0.100}",3.890,3.890,3.890,3.890,3.890,3.890,3.785,3.784,3.888,3.887,3.882,4.043,4.055,3.858,3.635,3.411,3.183,2.929,2.673,2.424,2.424,2.424,2.424,2.157,1.911,1.668,1.668,1.668,1.520,1.510,1.700,1.967,2.267,2.566,2.882,2.882,2.753,2.547,2.343,2.109,1.858,1.858,1.858,1.858,1.858,1.858,1.858,1.858,1.858,1.864,2.184,2.514,2.840,2.840,2.840,2.617,2.329,2.080,1.835,1.600,1.363,1.116,0.876,0.619,0.354,0.354,0.574,0.574,0.574,0.574,0.354,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,-0.006,-0.142,-0.216,-0.265,-0.416,-0.163,0.097,0.357,0.357,0.212,0.240,0.270,0.192,0.030,-0.125,-0.286,-0.470,-0.571,-0.571,-0.427,-0.242,-0.012,0.211,0.430,0.652,0.851,0.851,0.615,0.374,0.142,-0.025,-0.070,0.001,0.149,0.341,0.574,0.669,0.768,0.857,0.927,0.990,1.053,1.063,1.109,1.120,1.133,1.133,1.109,1.087,1.063,1.041,1.030,1.021,1.014,1.008,0.979,0.944,0.907,0.873,0.845,0.817,0.793,0.820,0.868,0.886,0.886,0.858,0.815,0.763,0.710,0.642,0.575,0.553,0.558,0.522,0.450,0.404,0.300,0.212,0.115,0.008,-0.030,-0.148,-0.277,-0.277,-0.277,-0.090,0.142,0.360,0.585,0.796,1.059,0.829,0.513,0.205,-0.095,-0.380,-0.486,-0.332,-0.128,0.098,0.314,0.328,0.329,0.321,0.298,0.328,0.401,0.468,0.511,0.556,0.599,0.642,0.691,0.732,0.779,0.826,0.874,0.906,0.934,0.961,0.995,1.056,1.133,1.088,1.040,0.993,0.988,1.020,1.052,1.078,1.099,1.132,1.105,1.025,1.012,1.030,1.093,1.093,1.106,1.066,1.121,1.121,1.121,1.121,1.121,1.121,1.121,1.121,1.121,1.121,1.128,1.140,1.144,1.147,1.152,1.106,1.071,1.080,1.083,1.127,1.133,1.135,1.106,1.146,1.094,1.064,1.043,1.043,1.043,1.043,1.101,1.101,1.138,1.290,1.454,1.629,1.799,1.971,2.150
"Player Position Y {0.100}",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Player Position Z {0.100}",8.749,8.749,8.749,8.749,8.749,8.749,8.957,9.251,9.553,9.829,10.135,10.446,10.722,10.862,10.959,10.959,10.923,10.865,10.801,10.737,10.737,10.737,10.737,10.816,10.834,10.853,10.853,10.853,11.072,11.236,11.307,11.339,11.358,11.170,10.980,10.980,10.773,10.731,10.724,10.693,10.695,10.695,10.695,10.695,10.695,10.695,10.695,10.695,10.695,10.787,10.950,11.077,11.204,11.204,11.204,11.149,11.124,11.100,11.076,11.053,11.026,11.028,11.033,11.012,10.986,10.986,11.034,11.034,11.034,11.034,11.019,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,11.010,10.800,10.602,10.375,10.144,9.963,10.012,10.029,10.039,10.039,9.922,9.978,10.213,10.381,10.277,10.060,9.862,9.684,9.519,9.365,9.207,9.060,8.972,9.017,9.060,9.086,9.112,9.112,9.011,8.997,9.025,9.195,9.423,9.633,9.800,9.932,9.996,10.160,10.344,10.531,10.726,10.927,11.122,11.299,11.499,11.694,11.879,12.072,12.247,12.419,12.593,12.769,12.950,13.123,13.301,13.476,13.614,13.777,13.940,14.101,14.265,14.427,14.587,14.743,14.905,15.082,15.265,15.454,15.634,15.804,15.980,16.151,16.278,16.283,16.299,16.295,16.315,16.325,16.395,16.553,16.711,16.877,17.098,17.248,17.380,17.380,17.380,17.254,17.138,17.157,17.029,16.812,16.930,16.988,17.013,17.096,17.145,17.268,17.545,17.764,17.880,17.938,18.017,18.231,18.456,18.678,18.915,19.115,19.293,19.484,19.698,19.911,20.125,20.337,20.560,20.770,20.985,21.188,21.390,21.593,21.800,22.012,22.213,22.409,22.599,22.732,22.863,23.008,23.167,23.335,23.509,23.678,23.859,24.032,24.187,24.263,24.421,24.584,24.741,24.891,25.054,25.184,25.337,25.484,25.635,25.785,25.931,26.084,26.235,26.374,26.515,26.672,26.851,27.024,27.195,27.358,27.519,27.644,27.765,27.929,28.091,28.256,28.407,28.562,28.702,28.876,28.949,28.993,29.054,29.149,29.247,29.351,29.489,29.489,29.589,29.667,29.709,29.721,29.721,29.712,29.688
"Object Viewed by Player {0.100}","Bathroom_Door_300 from [224.19] to [225.33]","XR Origin from [225.33] to [225.62]","Bathroom_Door_300 from [225.62] to [226.17]","Wall_bathroom_door_300 from [226.17] to [227.01]","Wall_left_300 from [227.01] to [228.32]","TriggerHelp from [228.32] to [231.55]","Door from [231.55] to [232.11]","XR Origin from [232.11] to [232.67]","TriggerHelp from [232.67] to [233.25]","Closet_door_left_300 from [233.25] to [233.81]","Closet_door_right_300 from [233.81] to [234.08]","TriggerHelp from [234.08] to [236.13]","Door from [236.13] to [237.75]","TriggerHelp from [237.75] to [240.09]","NPC Evacuation Trigger from [240.09] to [240.57]","NPC Grabbable from [240.57] to [241.12]","Wall_door_300 from [241.12] to [241.66]","XR Origin from [241.66] to [241.93]","NPC Grabbable from [241.93] to [243.00]","Wall_door_300 from [243.00] to [243.53]","NPC Grabbable from [243.53] to [243.80]","Wall_door_300 from [243.80] to [245.66]","NPC Grabbable from [245.66] to [245.93]","Wall_door_300 from [245.93] to [246.46]","NPC Josh from [246.46] to [246.73]","Wall_door_300 from [246.73] to [247.50]","Door from [247.50] to [247.75]","Wall_door_300 from [247.75] to [248.00]","SmokePlane (24) from [248.00] to [248.78]","Wall_left_300 from [248.78] to [249.03]","NPC Elizabeth from [249.03] to [249.29]","SmokePlane (3) from [249.29] to [250.63]","NPC Jody from [250.63] to [250.89]","SmokePlane (3) from [250.89] to [252.95]","NPC Grabbable from [252.95] to [253.19]","Door from [253.19] to [253.43]","SmokePlane (2) from [253.43] to [256.44]","Wall_door_300 from [256.44] to [257.15]","SmokePlane (13) from [257.15] to [258.18]","SmokePlane (25) from [258.18] to [259.46]","Door_frame_left_300 from [259.46] to [259.72]","Door from [259.72] to [260.23]","Wall_door_300 from [260.23] to [261.48]","NPC James from [261.48] to [261.73]","Wall_door_300 from [261.73] to [263.94]","Door_frame_left_300 from [263.94] to [264.18]","Door from [264.18] to [265.14]","Wall_door_300 from [265.14] to [266.99]","NPC James from [266.99] to [267.86]","Wall_door_300 from [267.86] to [269.69]","NPC James from [269.69] to [269.95]","SmokePlane (07) from [269.95] to [270.21]","NPC Adam from [270.21] to [270.46]","SmokePlane (07) from [270.46] to [271.69]","NPC Adam from [271.69] to [272.01]","SmokePlane (07) from [272.01] to [272.63]","NPC James from [272.63] to [272.92]","SmokePlane (09) from [272.92] to [273.19]","Wall_door_300 from [273.19] to [273.43]","Wall_door_300 from [273.43] to [273.66]","TriggerZone from [273.66] to [274.12]","Wall_door_300 from [274.12] to [274.36]","Wall_door_300 from [274.36] to [274.59]","Door from [274.59] to [274.84]","Wall_left_300 from [274.84] to [275.07]","Wall_door_300 from [275.07] to [275.51]","Room_number_300 from [275.51] to [275.75]","Door from [275.75] to [275.97]","Wall_door_300 from [275.97] to [277.55]","Door from [277.55] to [277.77]","Wall_door_300 from [277.77] to [278.43]","Door from [278.43] to [278.65]","Wall_door_300 from [278.65] to [278.86]","TriggerZone from [278.86] to [279.73]","Corridor_wall_south from [279.73] to [280.99]","Door_frame_left_300 from [280.99] to [281.20]","Wall_door_300 from [281.20] to [281.40]","Door_frame_left_300 from [281.40] to [281.61]","Corridor_wall_south from [281.61] to [282.80]","Emergency_door_south_frame_left from [282.80] to [283.00]","Emergency_door_south_door_right from [283.00] to [284.40]","Emergency_door_south_frame_left from [284.40] to [284.60]","Corridor_wall_south from [284.60] to [287.74]","Emergency_door_south_door_right from [287.74] to [289.63]"
"Simulation Timings {0.200}","Begining : [224.2]"
